# 词	编码	人工权重	分类	类型	实体	来源	核对日期
API响应	apixiangying	30	中英开发表达	mixed	API响应	curated	2026-09-17
API密钥	apimiyao	30	中英开发表达	mixed	API密钥	curated	2026-09-17
API接口	apijiekou	30	中英开发表达	mixed	API接口	curated	2026-09-17
API文档	apiwendang	30	中英开发表达	mixed	API文档	curated	2026-09-17
API版本	apibanben	30	中英开发表达	mixed	API版本	curated	2026-09-17
API网关	apiwangguan	30	中英开发表达	mixed	API网关	curated	2026-09-17
API调用	apidiaoyong	30	中英开发表达	mixed	API调用	curated	2026-09-17
API路由	apiluyou	30	中英开发表达	mixed	API路由	curated	2026-09-17
API鉴权	apijianquan	30	中英开发表达	mixed	API鉴权	curated	2026-09-17
API限流	apixianliu	30	中英开发表达	mixed	API限流	curated	2026-09-17
ASP.NET Core	aspnetcore	40	后端框架	english	ASP.NET Core	development-names	2026-09-17
AST	ast	40	编程助手	english	AST	development-names	2026-09-17
AVA	ava	40	测试质量	english	AVA	development-names	2026-09-17
AVFoundation	avfoundation	40	桌面移动	english	AVFoundation	development-names	2026-09-17
AVKit	avkit	40	桌面移动	english	AVKit	development-names	2026-09-17
AWS	aws	40	部署运维	english	AWS	development-names	2026-09-17
Access Token	accesstoken	40	接口协议	english	Access Token	development-names	2026-09-17
Accessibility	accessibility	40	桌面移动	english	Accessibility	development-names	2026-09-17
Actionlint	actionlint	40	测试质量	english	Actionlint	development-names	2026-09-17
ActiveMQ	activemq	40	部署运维	english	ActiveMQ	development-names	2026-09-17
ActiveRecord	activerecord	40	后端框架	english	ActiveRecord	development-names	2026-09-17
Activity	activity	40	桌面移动	english	Activity	development-names	2026-09-17
ActivityKit	activitykit	40	桌面移动	english	ActivityKit	development-names	2026-09-17
Actix Web	actixweb	40	后端框架	english	Actix Web	development-names	2026-09-17
AdonisJS	adonisjs	40	后端框架	english	AdonisJS	development-names	2026-09-17
Age	age	40	部署运维	english	Age	development-names	2026-09-17
Agenda	agenda	40	后端框架	english	Agenda	development-names	2026-09-17
Agent Skills	agentskills	40	编程助手	english	Agent Skills	development-names	2026-09-17
Agent2Agent	agent2agent	40	编程助手	english	Agent2Agent	development-names	2026-09-17
Agentic AI	agenticai	40	编程助手	english	Agentic AI	development-names	2026-09-17
Agentic Coding	agenticcoding	40	编程助手	english	Agentic Coding	development-names	2026-09-17
Agentic Workflow	agenticworkflow	40	编程助手	english	Agentic Workflow	development-names	2026-09-17
Agent工具	agentgongju	30	中英开发表达	mixed	Agent工具	curated	2026-09-17
Agent技能	agentjineng	30	中英开发表达	mixed	Agent技能	curated	2026-09-17
Aider	aider	40	编程助手	english	Aider	development-names	2026-09-17
Airbyte	airbyte	40	部署运维	english	Airbyte	development-names	2026-09-17
Airflow	airflow	40	部署运维	english	Airflow	development-names	2026-09-17
Akka	akka	40	后端框架	english	Akka	development-names	2026-09-17
Alembic	alembic	40	后端框架	english	Alembic	development-names	2026-09-17
Algolia	algolia	40	数据检索	english	Algolia	development-names	2026-09-17
Aliyun	aliyun	40	部署运维	english	Aliyun	development-names	2026-09-17
Alpine.js	alpinejs	40	前端框架	english	Alpine.js	development-names	2026-09-17
Anaconda	anaconda	40	包管理构建	english	Anaconda	development-names	2026-09-17
Android	android	40	桌面移动	english	Android	development-names	2026-09-17
Android Manifest	androidmanifest	40	桌面移动	english	Android Manifest	development-names	2026-09-17
Android Studio	androidstudio	40	桌面移动	english	Android Studio	development-names	2026-09-17
AndroidManifest.xml	androidmanifestxml	40	文件配置	english	AndroidManifest.xml	development-names	2026-09-17
AndroidX	androidx	40	桌面移动	english	AndroidX	development-names	2026-09-17
Angular	angular	40	前端框架	english	Angular	development-names	2026-09-17
Annoy	annoy	40	数据检索	english	Annoy	development-names	2026-09-17
Ansible	ansible	40	部署运维	english	Ansible	development-names	2026-09-17
Ant	ant	40	包管理构建	english	Ant	development-names	2026-09-17
Ant Design	antdesign	40	前端框架	english	Ant Design	development-names	2026-09-17
Anyhow	anyhow	40	后端框架	english	Anyhow	development-names	2026-09-17
AnythingLLM	anythingllm	40	数据检索	english	AnythingLLM	development-names	2026-09-17
Apache HTTP Server	apachehttpserver	40	部署运维	english	Apache HTTP Server	development-names	2026-09-17
Apollo	apollo	40	接口协议	english	Apollo	development-names	2026-09-17
Apollo Client	apolloclient	40	接口协议	english	Apollo Client	development-names	2026-09-17
Apollo Server	apolloserver	40	接口协议	english	Apollo Server	development-names	2026-09-17
App Intents	appintents	40	桌面移动	english	App Intents	development-names	2026-09-17
App Sandbox	appsandbox	40	桌面移动	english	App Sandbox	development-names	2026-09-17
App Store Connect	appstoreconnect	40	桌面移动	english	App Store Connect	development-names	2026-09-17
AppKit	appkit	40	桌面移动	english	AppKit	development-names	2026-09-17
Appium	appium	40	测试质量	english	Appium	development-names	2026-09-17
Approval	approval	40	编程助手	english	Approval	development-names	2026-09-17
Appwrite	appwrite	40	数据检索	english	Appwrite	development-names	2026-09-17
ArangoDB	arangodb	40	数据检索	english	ArangoDB	development-names	2026-09-17
Arc	arc	40	后端框架	english	Arc	development-names	2026-09-17
Argo CD	argocd	40	部署运维	english	Argo CD	development-names	2026-09-17
Argo Events	argoevents	40	部署运维	english	Argo Events	development-names	2026-09-17
Argo Workflows	argoworkflows	40	部署运维	english	Argo Workflows	development-names	2026-09-17
Argon2	argon2	40	接口协议	english	Argon2	development-names	2026-09-17
Arize	arize	40	数据检索	english	Arize	development-names	2026-09-17
Arrow	arrow	40	语言运行时	english	Arrow	development-names	2026-09-17
Artifactory	artifactory	40	包管理构建	english	Artifactory	development-names	2026-09-17
Artillery	artillery	40	测试质量	english	Artillery	development-names	2026-09-17
Assembly	assembly	40	语言运行时	english	Assembly	development-names	2026-09-17
AssertJ	assertj	40	测试质量	english	AssertJ	development-names	2026-09-17
Astro	astro	40	前端框架	english	Astro	development-names	2026-09-17
AsyncAPI	asyncapi	40	接口协议	english	AsyncAPI	development-names	2026-09-17
AsyncSequence	asyncsequence	40	桌面移动	english	AsyncSequence	development-names	2026-09-17
AsyncStream	asyncstream	40	桌面移动	english	AsyncStream	development-names	2026-09-17
AudioToolbox	audiotoolbox	40	桌面移动	english	AudioToolbox	development-names	2026-09-17
Authorization	authorization	40	接口协议	english	Authorization	development-names	2026-09-17
AutoGen	autogen	40	数据检索	english	AutoGen	development-names	2026-09-17
Autoprefixer	autoprefixer	40	前端框架	english	Autoprefixer	development-names	2026-09-17
Autotools	autotools	40	包管理构建	english	Autotools	development-names	2026-09-17
Avalonia	avalonia	40	桌面移动	english	Avalonia	development-names	2026-09-17
Avro	avro	40	语言运行时	english	Avro	development-names	2026-09-17
Axe	axe	40	测试质量	english	Axe	development-names	2026-09-17
Axios	axios	40	前端框架	english	Axios	development-names	2026-09-17
Axum	axum	40	后端框架	english	Axum	development-names	2026-09-17
Azure	azure	40	部署运维	english	Azure	development-names	2026-09-17
Azure Pipelines	azurepipelines	40	部署运维	english	Azure Pipelines	development-names	2026-09-17
BEAM	beam	40	语言运行时	english	BEAM	development-names	2026-09-17
BGE	bge	40	数据检索	english	BGE	development-names	2026-09-17
BM25F	bm25f	40	数据检索	english	BM25F	development-names	2026-09-17
BM25检索	bm25jiansuo	30	中英开发表达	mixed	BM25检索	curated	2026-09-17
BOM	bom	40	前端框架	english	BOM	development-names	2026-09-17
Babel	babel	40	前端框架	english	Babel	development-names	2026-09-17
Backbone	backbone	40	前端框架	english	Backbone	development-names	2026-09-17
Backoff	backoff	40	接口协议	english	Backoff	development-names	2026-09-17
BackstopJS	backstopjs	40	测试质量	english	BackstopJS	development-names	2026-09-17
Badger	badger	40	数据检索	english	Badger	development-names	2026-09-17
Bamboo	bamboo	40	部署运维	english	Bamboo	development-names	2026-09-17
Bandit	bandit	40	包管理构建	english	Bandit	development-names	2026-09-17
BasedPyright	basedpyright	40	包管理构建	english	BasedPyright	development-names	2026-09-17
Bash	bash	40	语言运行时	english	Bash	development-names	2026-09-17
Bazel	bazel	40	包管理构建	english	Bazel	development-names	2026-09-17
Bcrypt	bcrypt	40	接口协议	english	Bcrypt	development-names	2026-09-17
Bearer Token	bearertoken	40	接口协议	english	Bearer Token	development-names	2026-09-17
Beego	beego	40	后端框架	english	Beego	development-names	2026-09-17
Bi Encoder	biencoder	40	数据检索	english	Bi Encoder	development-names	2026-09-17
BigQuery	bigquery	40	数据检索	english	BigQuery	development-names	2026-09-17
Biome	biome	40	测试质量	english	Biome	development-names	2026-09-17
Bitbucket	bitbucket	40	版本协作	english	Bitbucket	development-names	2026-09-17
Black	black	40	包管理构建	english	Black	development-names	2026-09-17
Bloc	bloc	40	桌面移动	english	Bloc	development-names	2026-09-17
BoltDB	boltdb	40	数据检索	english	BoltDB	development-names	2026-09-17
Bootstrap	bootstrap	40	前端框架	english	Bootstrap	development-names	2026-09-17
Brewfile	brewfile	40	文件配置	english	Brewfile	development-names	2026-09-17
Brewfile.lock.json	brewfilelockjson	40	文件配置	english	Brewfile.lock.json	development-names	2026-09-17
Browser Use	browseruse	40	编程助手	english	Browser Use	development-names	2026-09-17
Buck2	buck2	40	包管理构建	english	Buck2	development-names	2026-09-17
Bugsnag	bugsnag	40	部署运维	english	Bugsnag	development-names	2026-09-17
Buildah	buildah	40	部署运维	english	Buildah	development-names	2026-09-17
Buildkite	buildkite	40	部署运维	english	Buildkite	development-names	2026-09-17
BullMQ	bullmq	40	后端框架	english	BullMQ	development-names	2026-09-17
Bulma	bulma	40	前端框架	english	Bulma	development-names	2026-09-17
Bun	bun	40	语言运行时	english	Bun	development-names	2026-09-17
Bun ORM	bunorm	40	后端框架	english	Bun ORM	development-names	2026-09-17
Bundler	bundler	40	包管理构建	english	Bundler	development-names	2026-09-17
C	c	40	语言运行时	english	C	development-names	2026-09-17
C#	csharp	40	语言运行时	alias	C#	development-names	2026-09-17
C++	cplusplus	40	语言运行时	alias	C++	development-names	2026-09-17
C++	cpp	40	语言运行时	alias	C++	development-names	2026-09-17
CD	cd	40	版本协作	english	CD	development-names	2026-09-17
CD部署	cdbushu	30	中英开发表达	mixed	CD部署	curated	2026-09-17
CHANGELOG.md	changelogmd	40	文件配置	english	CHANGELOG.md	development-names	2026-09-17
CI	ci	40	版本协作	english	CI	development-names	2026-09-17
CI/CD	cicd	40	版本协作	english	CI/CD	development-names	2026-09-17
CI流水线	ciliushuixian	30	中英开发表达	mixed	CI流水线	curated	2026-09-17
CLAUDE.md	claudemd	40	文件配置	english	CLAUDE.md	development-names	2026-09-17
CLI参数	clicanshu	30	中英开发表达	mixed	CLI参数	curated	2026-09-17
CLI工具	cligongju	30	中英开发表达	mixed	CLI工具	curated	2026-09-17
CLR	clr	40	语言运行时	english	CLR	development-names	2026-09-17
CMake	cmake	40	包管理构建	english	CMake	development-names	2026-09-17
CMakeLists.txt	cmakeliststxt	40	文件配置	english	CMakeLists.txt	development-names	2026-09-17
CMakePresets.json	cmakepresetsjson	40	文件配置	english	CMakePresets.json	development-names	2026-09-17
COBOL	cobol	40	语言运行时	english	COBOL	development-names	2026-09-17
CODEOWNERS	codeowners	40	版本协作	english	CODEOWNERS	development-names	2026-09-17
CONTRIBUTING.md	contributingmd	40	文件配置	english	CONTRIBUTING.md	development-names	2026-09-17
CORS	cors	40	接口协议	english	CORS	development-names	2026-09-17
CPM	cpm	40	包管理构建	english	CPM	development-names	2026-09-17
CPU占用	cpuzhanyong	30	中英开发表达	mixed	CPU占用	curated	2026-09-17
CPython	cpython	40	语言运行时	english	CPython	development-names	2026-09-17
CRI-O	crio	40	部署运维	english	CRI-O	development-names	2026-09-17
CSP	csp	40	接口协议	english	CSP	development-names	2026-09-17
CSR	csr	40	前端框架	english	CSR	development-names	2026-09-17
CSRF	csrf	40	接口协议	english	CSRF	development-names	2026-09-17
CSS	css	40	语言运行时	english	CSS	development-names	2026-09-17
CSS Modules	cssmodules	40	前端框架	english	CSS Modules	development-names	2026-09-17
CSS-in-JS	cssinjs	40	前端框架	english	CSS-in-JS	development-names	2026-09-17
CSSOM	cssom	40	前端框架	english	CSSOM	development-names	2026-09-17
CSS变量	cssbianliang	30	中英开发表达	mixed	CSS变量	curated	2026-09-17
CSS样式	cssyangshi	30	中英开发表达	mixed	CSS样式	curated	2026-09-17
CSS选择器	cssxuanzeqi	30	中英开发表达	mixed	CSS选择器	curated	2026-09-17
CSV	csv	40	语言运行时	english	CSV	development-names	2026-09-17
Cache Control	cachecontrol	40	接口协议	english	Cache Control	development-names	2026-09-17
Cache Storage	cachestorage	40	前端框架	english	Cache Storage	development-names	2026-09-17
Caddy	caddy	40	部署运维	english	Caddy	development-names	2026-09-17
Cadence	cadence	40	部署运维	english	Cadence	development-names	2026-09-17
CakePHP	cakephp	40	后端框架	english	CakePHP	development-names	2026-09-17
Canvas	canvas	40	前端框架	english	Canvas	development-names	2026-09-17
Capacitor	capacitor	40	桌面移动	english	Capacitor	development-names	2026-09-17
Cargo	cargo	40	包管理构建	english	Cargo	development-names	2026-09-17
Cargo.lock	cargolock	40	文件配置	english	Cargo.lock	development-names	2026-09-17
Cargo.toml	cargotoml	40	文件配置	english	Cargo.toml	development-names	2026-09-17
Cartfile	cartfile	40	文件配置	english	Cartfile	development-names	2026-09-17
Cartfile.resolved	cartfileresolved	40	文件配置	english	Cartfile.resolved	development-names	2026-09-17
Carthage	carthage	40	桌面移动	english	Carthage	development-names	2026-09-17
Cassandra	cassandra	40	数据检索	english	Cassandra	development-names	2026-09-17
Celery	celery	40	后端框架	english	Celery	development-names	2026-09-17
Celery Beat	celerybeat	40	部署运维	english	Celery Beat	development-names	2026-09-17
Ceph	ceph	40	部署运维	english	Ceph	development-names	2026-09-17
Cert Manager	certmanager	40	部署运维	english	Cert Manager	development-names	2026-09-17
Certbot	certbot	40	部署运维	english	Certbot	development-names	2026-09-17
Chai	chai	40	测试质量	english	Chai	development-names	2026-09-17
Chakra UI	chakraui	40	前端框架	english	Chakra UI	development-names	2026-09-17
Changesets	changesets	40	包管理构建	english	Changesets	development-names	2026-09-17
Chart.js	chartjs	40	前端框架	english	Chart.js	development-names	2026-09-17
Chart.yaml	chartyaml	40	文件配置	english	Chart.yaml	development-names	2026-09-17
Checkov	checkov	40	测试质量	english	Checkov	development-names	2026-09-17
Checkpoint	checkpoint	40	编程助手	english	Checkpoint	development-names	2026-09-17
Chef	chef	40	部署运维	english	Chef	development-names	2026-09-17
Chi	chi	40	后端框架	english	Chi	development-names	2026-09-17
Chocolatey	chocolatey	40	包管理构建	english	Chocolatey	development-names	2026-09-17
Chromatic	chromatic	40	测试质量	english	Chromatic	development-names	2026-09-17
CircleCI	circleci	40	部署运维	english	CircleCI	development-names	2026-09-17
Circuit Breaker	circuitbreaker	40	接口协议	english	Circuit Breaker	development-names	2026-09-17
Clang	clang	40	语言运行时	english	Clang	development-names	2026-09-17
Clap	clap	40	后端框架	english	Clap	development-names	2026-09-17
Claude Agent SDK	claudeagentsdk	40	编程助手	english	Claude Agent SDK	development-names	2026-09-17
Claude Code	claudecode	40	编程助手	english	Claude Code	development-names	2026-09-17
ClickHouse	clickhouse	40	数据检索	english	ClickHouse	development-names	2026-09-17
Cline	cline	40	编程助手	english	Cline	development-names	2026-09-17
Clippy	clippy	40	包管理构建	english	Clippy	development-names	2026-09-17
Clojure	clojure	40	语言运行时	english	Clojure	development-names	2026-09-17
CloudFront	cloudfront	40	部署运维	english	CloudFront	development-names	2026-09-17
CloudKit	cloudkit	40	桌面移动	english	CloudKit	development-names	2026-09-17
Cloudflare	cloudflare	40	部署运维	english	Cloudflare	development-names	2026-09-17
CockroachDB	cockroachdb	40	数据检索	english	CockroachDB	development-names	2026-09-17
CocoaPods	cocoapods	40	桌面移动	english	CocoaPods	development-names	2026-09-17
Codable	codable	40	桌面移动	english	Codable	development-names	2026-09-17
Code Review	codereview	40	编程助手	english	Code Review	development-names	2026-09-17
Code Search	codesearch	40	编程助手	english	Code Search	development-names	2026-09-17
CodeIgniter	codeigniter	40	后端框架	english	CodeIgniter	development-names	2026-09-17
CodeMirror	codemirror	40	前端框架	english	CodeMirror	development-names	2026-09-17
CodeQL	codeql	40	测试质量	english	CodeQL	development-names	2026-09-17
Codecov	codecov	40	测试质量	english	Codecov	development-names	2026-09-17
Codex App	codexapp	40	编程助手	english	Codex App	development-names	2026-09-17
Codex CLI	codexcli	40	编程助手	english	Codex CLI	development-names	2026-09-17
ColBERT	colbert	40	数据检索	english	ColBERT	development-names	2026-09-17
Combine	combine	40	桌面移动	english	Combine	development-names	2026-09-17
Commitlint	commitlint	40	测试质量	english	Commitlint	development-names	2026-09-17
Compaction	compaction	40	编程助手	english	Compaction	development-names	2026-09-17
Compose Multiplatform	composemultiplatform	40	桌面移动	english	Compose Multiplatform	development-names	2026-09-17
Composer	composer	40	包管理构建	english	Composer	development-names	2026-09-17
Computer Use	computeruse	40	编程助手	english	Computer Use	development-names	2026-09-17
Conan	conan	40	包管理构建	english	Conan	development-names	2026-09-17
Conda	conda	40	包管理构建	english	Conda	development-names	2026-09-17
Consul	consul	40	数据检索	english	Consul	development-names	2026-09-17
Containerfile	containerfile	40	部署运维	english	Containerfile	development-names	2026-09-17
Content Type	contenttype	40	接口协议	english	Content Type	development-names	2026-09-17
Context Engineering	contextengineering	40	编程助手	english	Context Engineering	development-names	2026-09-17
Context Window	contextwindow	40	编程助手	english	Context Window	development-names	2026-09-17
Continue	continue	40	编程助手	english	Continue	development-names	2026-09-17
Conventional Commits	conventionalcommits	40	版本协作	english	Conventional Commits	development-names	2026-09-17
Cordova	cordova	40	桌面移动	english	Cordova	development-names	2026-09-17
Core Animation	coreanimation	40	桌面移动	english	Core Animation	development-names	2026-09-17
Core Data	coredata	40	桌面移动	english	Core Data	development-names	2026-09-17
Core Graphics	coregraphics	40	桌面移动	english	Core Graphics	development-names	2026-09-17
Core ML	coreml	40	桌面移动	english	Core ML	development-names	2026-09-17
Core Text	coretext	40	桌面移动	english	Core Text	development-names	2026-09-17
Corepack	corepack	40	包管理构建	english	Corepack	development-names	2026-09-17
Coroutine	coroutine	40	桌面移动	english	Coroutine	development-names	2026-09-17
Correlation ID	correlationid	40	接口协议	english	Correlation ID	development-names	2026-09-17
Cosine Similarity	cosinesimilarity	40	数据检索	english	Cosine Similarity	development-names	2026-09-17
CouchDB	couchdb	40	数据检索	english	CouchDB	development-names	2026-09-17
Couchbase	couchbase	40	数据检索	english	Couchbase	development-names	2026-09-17
Coursier	coursier	40	包管理构建	english	Coursier	development-names	2026-09-17
Coverage.py	coveragepy	40	测试质量	english	Coverage.py	development-names	2026-09-17
Coveralls	coveralls	40	测试质量	english	Coveralls	development-names	2026-09-17
Crawl4AI	crawl4ai	40	数据检索	english	Crawl4AI	development-names	2026-09-17
CrewAI	crewai	40	数据检索	english	CrewAI	development-names	2026-09-17
Criterion	criterion	40	测试质量	english	Criterion	development-names	2026-09-17
Cross Encoder	crossencoder	40	数据检索	english	Cross Encoder	development-names	2026-09-17
Crossbeam	crossbeam	40	后端框架	english	Crossbeam	development-names	2026-09-17
Cursor	cursor	40	编程助手	english	Cursor	development-names	2026-09-17
Custom Elements	customelements	40	前端框架	english	Custom Elements	development-names	2026-09-17
Cypress	cypress	40	测试质量	english	Cypress	development-names	2026-09-17
Cython	cython	40	语言运行时	english	Cython	development-names	2026-09-17
D3.js	d3js	40	前端框架	english	D3.js	development-names	2026-09-17
DB2	db2	40	数据检索	english	DB2	development-names	2026-09-17
DNS	dns	40	接口协议	english	DNS	development-names	2026-09-17
DNS解析	dnsjiexi	30	中英开发表达	mixed	DNS解析	curated	2026-09-17
DOM	dom	40	前端框架	english	DOM	development-names	2026-09-17
DOM操作	domcaozuo	30	中英开发表达	mixed	DOM操作	curated	2026-09-17
DOM节点	domjiedian	30	中英开发表达	mixed	DOM节点	curated	2026-09-17
DSPy	dspy	40	数据检索	english	DSPy	development-names	2026-09-17
Dagger	dagger	40	桌面移动	english	Dagger	development-names	2026-09-17
Dagster	dagster	40	部署运维	english	Dagster	development-names	2026-09-17
DaisyUI	daisyui	40	前端框架	english	DaisyUI	development-names	2026-09-17
Danger	danger	40	测试质量	english	Danger	development-names	2026-09-17
Dapper	dapper	40	后端框架	english	Dapper	development-names	2026-09-17
Dapr	dapr	40	部署运维	english	Dapr	development-names	2026-09-17
Dart	dart	40	语言运行时	english	Dart	development-names	2026-09-17
Dart VM	dartvm	40	桌面移动	english	Dart VM	development-names	2026-09-17
DashMap	dashmap	40	后端框架	english	DashMap	development-names	2026-09-17
DataStore	datastore	40	桌面移动	english	DataStore	development-names	2026-09-17
Databricks	databricks	40	数据检索	english	Databricks	development-names	2026-09-17
Datadog	datadog	40	部署运维	english	Datadog	development-names	2026-09-17
Debezium	debezium	40	部署运维	english	Debezium	development-names	2026-09-17
Decodable	decodable	40	桌面移动	english	Decodable	development-names	2026-09-17
Deno	deno	40	语言运行时	english	Deno	development-names	2026-09-17
Dense Retrieval	denseretrieval	40	数据检索	english	Dense Retrieval	development-names	2026-09-17
Detox	detox	40	测试质量	english	Detox	development-names	2026-09-17
Dgraph	dgraph	40	数据检索	english	Dgraph	development-names	2026-09-17
Diesel	diesel	40	后端框架	english	Diesel	development-names	2026-09-17
Dify	dify	40	数据检索	english	Dify	development-names	2026-09-17
DigitalOcean	digitalocean	40	部署运维	english	DigitalOcean	development-names	2026-09-17
Dio	dio	40	桌面移动	english	Dio	development-names	2026-09-17
Directory.Build.props	directorybuildprops	40	文件配置	english	Directory.Build.props	development-names	2026-09-17
Directory.Packages.props	directorypackagesprops	40	文件配置	english	Directory.Packages.props	development-names	2026-09-17
Directus	directus	40	后端框架	english	Directus	development-names	2026-09-17
DiskANN	diskann	40	数据检索	english	DiskANN	development-names	2026-09-17
DispatchQueue	dispatchqueue	40	桌面移动	english	DispatchQueue	development-names	2026-09-17
Django	django	40	后端框架	english	Django	development-names	2026-09-17
Django REST Framework	djangorestframework	40	后端框架	english	Django REST Framework	development-names	2026-09-17
DoH	doh	40	接口协议	english	DoH	development-names	2026-09-17
DoT	dot	40	接口协议	english	DoT	development-names	2026-09-17
Docker	docker	40	部署运维	english	Docker	development-names	2026-09-17
Docker Compose	dockercompose	40	部署运维	english	Docker Compose	development-names	2026-09-17
Dockerfile	dockerfile	40	部署运维	english	Dockerfile	development-names	2026-09-17
Docker容器	dockerrongqi	30	中英开发表达	mixed	Docker容器	curated	2026-09-17
Docker构建	dockergoujian	30	中英开发表达	mixed	Docker构建	curated	2026-09-17
Docker网络	dockerwangluo	30	中英开发表达	mixed	Docker网络	curated	2026-09-17
Docker镜像	dockerjingxiang	30	中英开发表达	mixed	Docker镜像	curated	2026-09-17
Docling	docling	40	数据检索	english	Docling	development-names	2026-09-17
Doris	doris	40	数据检索	english	Doris	development-names	2026-09-17
Dragonfly	dragonfly	40	数据检索	english	Dragonfly	development-names	2026-09-17
Dramatiq	dramatiq	40	后端框架	english	Dramatiq	development-names	2026-09-17
Drift	drift	40	桌面移动	english	Drift	development-names	2026-09-17
Drizzle ORM	drizzleorm	40	后端框架	english	Drizzle ORM	development-names	2026-09-17
Drone	drone	40	部署运维	english	Drone	development-names	2026-09-17
Dropwizard	dropwizard	40	后端框架	english	Dropwizard	development-names	2026-09-17
DuckDB	duckdb	40	数据检索	english	DuckDB	development-names	2026-09-17
DynamoDB	dynamodb	40	数据检索	english	DynamoDB	development-names	2026-09-17
E5	e5	40	数据检索	english	E5	development-names	2026-09-17
ECDSA	ecdsa	40	接口协议	english	ECDSA	development-names	2026-09-17
ECharts	echarts	40	前端框架	english	ECharts	development-names	2026-09-17
EMQX	emqx	40	部署运维	english	EMQX	development-names	2026-09-17
ESLint	eslint	40	测试质量	english	ESLint	development-names	2026-09-17
ETag	etag	40	接口协议	english	ETag	development-names	2026-09-17
EasyOCR	easyocr	40	数据检索	english	EasyOCR	development-names	2026-09-17
Echo	echo	40	后端框架	english	Echo	development-names	2026-09-17
Ecto	ecto	40	后端框架	english	Ecto	development-names	2026-09-17
Ed25519	ed25519	40	接口协议	english	Ed25519	development-names	2026-09-17
Electron	electron	40	前端框架	english	Electron	development-names	2026-09-17
Element Plus	elementplus	40	前端框架	english	Element Plus	development-names	2026-09-17
Elixir	elixir	40	语言运行时	english	Elixir	development-names	2026-09-17
Embedding	embedding	40	数据检索	english	Embedding	development-names	2026-09-17
Embeddings	embeddings	40	数据检索	english	Embeddings	development-names	2026-09-17
Embedding模型	embeddingmoxing	30	中英开发表达	mixed	Embedding模型	curated	2026-09-17
Ember	ember	40	前端框架	english	Ember	development-names	2026-09-17
Emotion	emotion	40	前端框架	english	Emotion	development-names	2026-09-17
Encodable	encodable	40	桌面移动	english	Encodable	development-names	2026-09-17
Ent	ent	40	后端框架	english	Ent	development-names	2026-09-17
Entitlements	entitlements	40	桌面移动	english	Entitlements	development-names	2026-09-17
Entity Framework Core	entityframeworkcore	40	后端框架	english	Entity Framework Core	development-names	2026-09-17
Envoy	envoy	40	部署运维	english	Envoy	development-names	2026-09-17
Enzyme	enzyme	40	测试质量	english	Enzyme	development-names	2026-09-17
Erlang	erlang	40	语言运行时	english	Erlang	development-names	2026-09-17
Euclidean Distance	euclideandistance	40	数据检索	english	Euclidean Distance	development-names	2026-09-17
EventSource	eventsource	40	前端框架	english	EventSource	development-names	2026-09-17
Excalidraw	excalidraw	40	前端框架	english	Excalidraw	development-names	2026-09-17
Expo	expo	40	桌面移动	english	Expo	development-names	2026-09-17
Express	express	40	后端框架	english	Express	development-names	2026-09-17
External Secrets	externalsecrets	40	部署运维	english	External Secrets	development-names	2026-09-17
F#	fsharp	40	语言运行时	alias	F#	development-names	2026-09-17
F1	f1	40	数据检索	english	F1	development-names	2026-09-17
