# 词	编码	人工权重	分类	类型	实体	来源	核对日期
事件处理器	shi jian chu li qi	30	架构设计	term	事件处理器	curated	2026-09-17
事件委托	shi jian wei tuo	30	前端交互	term	事件委托	curated	2026-09-17
事件总线	shi jian zong xian	30	架构设计	term	事件总线	curated	2026-09-17
事件捕获	shi jian bu huo	30	前端交互	term	事件捕获	curated	2026-09-17
事件溯源	shi jian su yuan	30	架构设计	term	事件溯源	curated	2026-09-17
事件穿透	shi jian chuan tou	30	前端交互	term	事件穿透	curated	2026-09-17
事件订阅	shi jian ding yue	30	架构设计	term	事件订阅	curated	2026-09-17
事件驱动架构	shi jian qu dong jia gou	30	架构设计	term	事件驱动架构	curated	2026-09-17
事务传播	shi wu chuan bo	30	后端数据	term	事务传播	curated	2026-09-17
事务回滚	shi wu hui gun	30	后端数据	term	事务回滚	curated	2026-09-17
事务提交	shi wu ti jiao	30	后端数据	term	事务提交	curated	2026-09-17
事务超时	shi wu chao shi	30	后端数据	term	事务超时	curated	2026-09-17
事务边界	shi wu bian jie	30	后端数据	term	事务边界	curated	2026-09-17
事务隔离	shi wu ge li	30	后端数据	term	事务隔离	curated	2026-09-17
二进制量化	er jin zhi liang hua	30	向量检索	term	二进制量化	curated	2026-09-17
交互式变基	jiao hu shi bian ji	30	版本协作	term	交互式变基	curated	2026-09-17
交互模式	jiao hu mo shi	30	代理开发	term	交互模式	curated	2026-09-17
交互设计	jiao hu she ji	30	项目协作	term	交互设计	curated	2026-09-17
交付层	jiao fu ceng	30	架构设计	term	交付层	curated	2026-09-17
交付时间	jiao fu shi jian	30	项目协作	term	交付时间	curated	2026-09-17
交付标准	jiao fu biao zhun	30	项目协作	term	交付标准	curated	2026-09-17
交付清单	jiao fu qing dan	30	项目协作	term	交付清单	curated	2026-09-17
交付物	jiao fu wu	30	项目协作	term	交付物	curated	2026-09-17
交付范围	jiao fu fan wei	30	项目协作	term	交付范围	curated	2026-09-17
交叉编译	jiao cha bian yi	30	开发操作	term	交叉编译	curated	2026-09-17
产品需求	chan pin xu qiu	30	项目协作	term	产品需求	curated	2026-09-17
产物目录	chan wu mu lu	30	开发操作	term	产物目录	curated	2026-09-17
人工验证	ren gong yan zheng	30	测试验收	term	人工验证	curated	2026-09-17
仓储	cang chu	30	架构设计	term	仓储	curated	2026-09-17
仓储接口	cang chu jie kou	30	架构设计	term	仓储接口	curated	2026-09-17
仓库根目录	cang ku gen mu lu	30	开发操作	term	仓库根目录	curated	2026-09-17
仓库约定	cang ku yue ding	30	代理开发	term	仓库约定	curated	2026-09-17
仓库说明	cang ku shuo ming	30	代理开发	term	仓库说明	curated	2026-09-17
代理上下文	dai li shang xia wen	30	代理开发	term	代理上下文	curated	2026-09-17
代理会话	dai li hui hua	30	代理开发	term	代理会话	curated	2026-09-17
代理协作	dai li xie zuo	30	代理开发	term	代理协作	curated	2026-09-17
代理反馈	dai li fan kui	30	代理开发	term	代理反馈	curated	2026-09-17
代理委派	dai li wei pai	30	代理开发	term	代理委派	curated	2026-09-17
代理工作流	dai li gong zuo liu	30	代理开发	term	代理工作流	curated	2026-09-17
代理工具	dai li gong ju	30	代理开发	term	代理工具	curated	2026-09-17
代理执行	dai li zhi xing	30	代理开发	term	代理执行	curated	2026-09-17
代理技能	dai li ji neng	30	代理开发	term	代理技能	curated	2026-09-17
代理权限	dai li quan xian	30	代理开发	term	代理权限	curated	2026-09-17
代理模式	dai li mo shi	30	架构设计	term	代理模式	curated	2026-09-17
代理编程	dai li bian cheng	30	代理开发	term	代理编程	curated	2026-09-17
代理记忆	dai li ji yi	30	代理开发	term	代理记忆	curated	2026-09-17
代理调度	dai li diao du	30	代理开发	term	代理调度	curated	2026-09-17
代理配置	dai li pei zhi	30	开发操作	term	代理配置	curated	2026-09-17
代码仓库	dai ma cang ku	30	开发操作	term	代码仓库	curated	2026-09-17
代码代理	dai ma dai li	30	代理开发	term	代码代理	curated	2026-09-17
代码分割	dai ma fen ge	30	前端交互	term	代码分割	curated	2026-09-17
代码审阅	dai ma shen yue	30	版本协作	term	代码审阅	curated	2026-09-17
代码导航	dai ma dao hang	30	开发操作	term	代码导航	curated	2026-09-17
代码差异	dai ma cha yi	30	版本协作	term	代码差异	curated	2026-09-17
代码检查	dai ma jian cha	30	测试验收	term	代码检查	curated	2026-09-17
代码签名	dai ma qian ming	30	桌面移动	term	代码签名	curated	2026-09-17
代码规范检查	dai ma gui fan jian cha	30	测试验收	term	代码规范检查	curated	2026-09-17
代码评审	dai ma ping shen	30	版本协作	term	代码评审	curated	2026-09-17
令牌撤销	ling pai che xiao	30	后端数据	term	令牌撤销	curated	2026-09-17
令牌过期	ling pai guo qi	30	后端数据	term	令牌过期	curated	2026-09-17
任务交接	ren wu jiao jie	30	代理开发	term	任务交接	curated	2026-09-17
任务取消	ren wu qu xiao	30	桌面移动	term	任务取消	curated	2026-09-17
任务拆分	ren wu chai fen	30	项目协作	term	任务拆分	curated	2026-09-17
任务清单	ren wu qing dan	30	项目协作	term	任务清单	curated	2026-09-17
优先级	you xian ji	30	项目协作	term	优先级	curated	2026-09-17
优先级队列	you xian ji dui lie	30	后端数据	term	优先级队列	curated	2026-09-17
优雅关闭	you ya guan bi	30	可靠运维	term	优雅关闭	curated	2026-09-17
会话交接	hui hua jiao jie	30	代理开发	term	会话交接	curated	2026-09-17
会话保持	hui hua bao chi	30	可靠运维	term	会话保持	curated	2026-09-17
会话分叉	hui hua fen cha	30	代理开发	term	会话分叉	curated	2026-09-17
会话压缩	hui hua ya suo	30	代理开发	term	会话压缩	curated	2026-09-17
会话管理	hui hua guan li	30	后端数据	term	会话管理	curated	2026-09-17
会话续接	hui hua xu jie	30	代理开发	term	会话续接	curated	2026-09-17
会话续期	hui hua xu qi	30	后端数据	term	会话续期	curated	2026-09-17
会话过期	hui hua guo qi	30	后端数据	term	会话过期	curated	2026-09-17
传输对象	chuan shu dui xiang	30	架构设计	term	传输对象	curated	2026-09-17
传递依赖	chuan di yi lai	30	开发操作	term	传递依赖	curated	2026-09-17
低耦合	di ou he	30	架构设计	term	低耦合	curated	2026-09-17
余弦距离	yu xian ju li	30	向量检索	term	余弦距离	curated	2026-09-17
使用场景	shi yong chang jing	30	项目协作	term	使用场景	curated	2026-09-17
使用流程	shi yong liu cheng	30	项目协作	term	使用流程	curated	2026-09-17
依赖倒置	yi lai dao zhi	30	架构设计	term	依赖倒置	curated	2026-09-17
依赖关系	yi lai guan xi	30	开发操作	term	依赖关系	curated	2026-09-17
依赖冲突	yi lai chong tu	30	开发操作	term	依赖冲突	curated	2026-09-17
依赖升级	yi lai sheng ji	30	开发操作	term	依赖升级	curated	2026-09-17
依赖图	yi lai tu	30	开发操作	term	依赖图	curated	2026-09-17
依赖安装	yi lai an zhuang	30	开发操作	term	依赖安装	curated	2026-09-17
依赖审计	yi lai shen ji	30	开发操作	term	依赖审计	curated	2026-09-17
依赖数组	yi lai shu zu	30	前端交互	term	依赖数组	curated	2026-09-17
依赖方向	yi lai fang xiang	30	架构设计	term	依赖方向	curated	2026-09-17
依赖更新	yi lai geng xin	30	开发操作	term	依赖更新	curated	2026-09-17
依赖检查	yi lai jian cha	30	测试验收	term	依赖检查	curated	2026-09-17
依赖注入	yi lai zhu ru	30	架构设计	term	依赖注入	curated	2026-09-17
依赖清理	yi lai qing li	30	开发操作	term	依赖清理	curated	2026-09-17
依赖目录	yi lai mu lu	30	开发操作	term	依赖目录	curated	2026-09-17
依赖解析	yi lai jie xi	30	开发操作	term	依赖解析	curated	2026-09-17
依赖降级	yi lai jiang ji	30	开发操作	term	依赖降级	curated	2026-09-17
保存改动	bao cun gai dong	30	版本协作	term	保存改动	curated	2026-09-17
保持兼容	bao chi jian rong	30	排障修复	term	保持兼容	curated	2026-09-17
保持向后兼容	bao chi xiang hou jian rong	30	排障修复	term	保持向后兼容	curated	2026-09-17
保持行为	bao chi xing wei	30	排障修复	term	保持行为	curated	2026-09-17
保留已有改动	bao liu yi you gai dong	30	代理开发	term	保留已有改动	curated	2026-09-17
保留改动	bao liu gai dong	30	版本协作	term	保留改动	curated	2026-09-17
保留现有改动	bao liu xian you gai dong	30	版本协作	term	保留现有改动	curated	2026-09-17
保留现有行为	bao liu xian you xing wei	30	代理开发	term	保留现有行为	curated	2026-09-17
保留用户改动	bao liu yong hu gai dong	30	排障修复	term	保留用户改动	curated	2026-09-17
修复全部问题	xiu fu quan bu wen ti	30	代理开发	term	修复全部问题	curated	2026-09-17
修复冲突	xiu fu chong tu	30	排障修复	term	修复冲突	curated	2026-09-17
修复分支	xiu fu fen zhi	30	版本协作	term	修复分支	curated	2026-09-17
修复回归	xiu fu hui gui	30	排障修复	term	修复回归	curated	2026-09-17
修复审查问题	xiu fu shen cha wen ti	30	版本协作	term	修复审查问题	curated	2026-09-17
修复测试	xiu fu ce shi	30	测试验收	term	修复测试	curated	2026-09-17
修复缺陷	xiu fu que xian	30	排障修复	term	修复缺陷	curated	2026-09-17
修复范围	xiu fu fan wei	30	排障修复	term	修复范围	curated	2026-09-17
修复记录	xiu fu ji lu	30	排障修复	term	修复记录	curated	2026-09-17
修复说明	xiu fu shuo ming	30	排障修复	term	修复说明	curated	2026-09-17
修复问题	xiu fu wen ti	30	排障修复	term	修复问题	curated	2026-09-17
修复验证	xiu fu yan zheng	30	排障修复	term	修复验证	curated	2026-09-17
修改提交	xiu gai ti jiao	30	版本协作	term	修改提交	curated	2026-09-17
倒排文件	dao pai wen jian	30	向量检索	term	倒排文件	curated	2026-09-17
倒数排名融合	dao shu pai ming rong he	30	向量检索	term	倒数排名融合	curated	2026-09-17
候选列表	hou xuan lie biao	30	桌面移动	term	候选列表	curated	2026-09-17
候选排序	hou xuan pai xu	30	桌面移动	term	候选排序	curated	2026-09-17
候选数量	hou xuan shu liang	30	向量检索	term	候选数量	curated	2026-09-17
候选窗口	hou xuan chuang kou	30	桌面移动	term	候选窗口	curated	2026-09-17
候选集	hou xuan ji	30	向量检索	term	候选集	curated	2026-09-17
候选集合	hou xuan ji he	30	向量检索	term	候选集合	curated	2026-09-17
值对象	zhi dui xiang	30	架构设计	term	值对象	curated	2026-09-17
假设答案生成	jia she da an sheng cheng	30	向量检索	term	假设答案生成	curated	2026-09-17
偏移分页	pian yi fen ye	30	后端数据	term	偏移分页	curated	2026-09-17
偶发复现	ou fa fu xian	30	排障修复	term	偶发复现	curated	2026-09-17
偶发失败	ou fa shi bai	30	测试验收	term	偶发失败	curated	2026-09-17
偶发超时	ou fa chao shi	30	排障修复	term	偶发超时	curated	2026-09-17
先给方案	xian gei fang an	30	代理开发	term	先给方案	curated	2026-09-17
入口函数	ru kou han shu	30	开发操作	term	入口函数	curated	2026-09-17
入口文件	ru kou wen jian	30	开发操作	term	入口文件	curated	2026-09-17
入口模块	ru kou mo kuai	30	开发操作	term	入口模块	curated	2026-09-17
入库任务	ru ku ren wu	30	向量检索	term	入库任务	curated	2026-09-17
入库状态	ru ku zhuang tai	30	向量检索	term	入库状态	curated	2026-09-17
全局快捷键	quan ju kuai jie jian	30	桌面移动	term	全局快捷键	curated	2026-09-17
全局状态	quan ju zhuang tai	30	前端交互	term	全局状态	curated	2026-09-17
全文召回	quan wen zhao hui	30	向量检索	term	全文召回	curated	2026-09-17
全文搜索	quan wen sou suo	30	开发操作	term	全文搜索	curated	2026-09-17
全表扫描	quan biao sao miao	30	后端数据	term	全表扫描	curated	2026-09-17
全连接	quan lian jie	30	后端数据	term	全连接	curated	2026-09-17
全量备份	quan liang bei fen	30	后端数据	term	全量备份	curated	2026-09-17
全量构建	quan liang gou jian	30	开发操作	term	全量构建	curated	2026-09-17
全量测试	quan liang ce shi	30	测试验收	term	全量测试	curated	2026-09-17
公共包	gong gong bao	30	开发操作	term	公共包	curated	2026-09-17
公开接口	gong kai jie kou	30	架构设计	term	公开接口	curated	2026-09-17
公证	gong zheng	30	桌面移动	term	公证	curated	2026-09-17
六边形架构	liu bian xing jia gou	30	架构设计	term	六边形架构	curated	2026-09-17
共享上下文	gong xiang shang xia wen	30	代理开发	term	共享上下文	curated	2026-09-17
关注点分离	guan zhu dian fen li	30	架构设计	term	关注点分离	curated	2026-09-17
关联查询	guan lian cha xun	30	后端数据	term	关联查询	curated	2026-09-17
关联标识	guan lian biao shi	30	可靠运维	term	关联标识	curated	2026-09-17
关键词召回	guan jian ci zhao hui	30	向量检索	term	关键词召回	curated	2026-09-17
关闭流程	guan bi liu cheng	30	开发操作	term	关闭流程	curated	2026-09-17
兼容契约	jian rong qi yue	30	架构设计	term	兼容契约	curated	2026-09-17
兼容性测试	jian rong xing ce shi	30	测试验收	term	兼容性测试	curated	2026-09-17
兼容方案	jian rong fang an	30	项目协作	term	兼容方案	curated	2026-09-17
内存损坏	nei cun sun huai	30	排障修复	term	内存损坏	curated	2026-09-17
内存泄漏	nei cun xie lou	30	排障修复	term	内存泄漏	curated	2026-09-17
内存警告	nei cun jing gao	30	桌面移动	term	内存警告	curated	2026-09-17
内存越界	nei cun yue jie	30	排障修复	term	内存越界	curated	2026-09-17
内存限制	nei cun xian zhi	30	可靠运维	term	内存限制	curated	2026-09-17
内容去重	nei rong qu chong	30	向量检索	term	内容去重	curated	2026-09-17
内容哈希	nei rong ha xi	30	向量检索	term	内容哈希	curated	2026-09-17
内容指纹	nei rong zhi wen	30	向量检索	term	内容指纹	curated	2026-09-17
内积	nei ji	30	向量检索	term	内积	curated	2026-09-17
内连接	nei lian jie	30	后端数据	term	内连接	curated	2026-09-17
冒烟测试	mao yan ce shi	30	测试验收	term	冒烟测试	curated	2026-09-17
写入权限	xie ru quan xian	30	代理开发	term	写入权限	curated	2026-09-17
写入超时	xie ru chao shi	30	可靠运维	term	写入超时	curated	2026-09-17
冲突标记	chong tu biao ji	30	版本协作	term	冲突标记	curated	2026-09-17
冲突解决	chong tu jie jue	30	版本协作	term	冲突解决	curated	2026-09-17
决策记录	jue ce ji lu	30	项目协作	term	决策记录	curated	2026-09-17
冷启动	leng qi dong	30	桌面移动	term	冷启动	curated	2026-09-17
函数索引	han shu suo yin	30	后端数据	term	函数索引	curated	2026-09-17
函数组件	han shu zu jian	30	前端交互	term	函数组件	curated	2026-09-17
函数覆盖率	han shu fu gai lv	30	测试验收	term	函数覆盖率	curated	2026-09-17
分区表	fen qu biao	30	后端数据	term	分区表	curated	2026-09-17
分区键	fen qu jian	30	后端数据	term	分区键	curated	2026-09-17
分块策略	fen kuai ce lve	30	向量检索	term	分块策略	curated	2026-09-17
分块边界	fen kuai bian jie	30	向量检索	term	分块边界	curated	2026-09-17
分层架构	fen ceng jia gou	30	架构设计	term	分层架构	curated	2026-09-17
分布式事务	fen bu shi shi wu	30	后端数据	term	分布式事务	curated	2026-09-17
分库分表	fen ku fen biao	30	后端数据	term	分库分表	curated	2026-09-17
分支保护	fen zhi bao hu	30	版本协作	term	分支保护	curated	2026-09-17
分支偏离	fen zhi pian li	30	版本协作	term	分支偏离	curated	2026-09-17
分支切换	fen zhi qie huan	30	版本协作	term	分支切换	curated	2026-09-17
分支创建	fen zhi chuang jian	30	版本协作	term	分支创建	curated	2026-09-17
分支删除	fen zhi shan chu	30	版本协作	term	分支删除	curated	2026-09-17
分支合并	fen zhi he bing	30	版本协作	term	分支合并	curated	2026-09-17
分支同步	fen zhi tong bu	30	版本协作	term	分支同步	curated	2026-09-17
分支名称	fen zhi ming cheng	30	版本协作	term	分支名称	curated	2026-09-17
分支策略	fen zhi ce lve	30	版本协作	term	分支策略	curated	2026-09-17
分支管理	fen zhi guan li	30	版本协作	term	分支管理	curated	2026-09-17
分支覆盖率	fen zhi fu gai lv	30	测试验收	term	分支覆盖率	curated	2026-09-17
分数归一化	fen shu gui yi hua	30	向量检索	term	分数归一化	curated	2026-09-17
分数融合	fen shu rong he	30	向量检索	term	分数融合	curated	2026-09-17
分片上传	fen pian shang chuan	30	前端交互	term	分片上传	curated	2026-09-17
分组聚合	fen zu ju he	30	后端数据	term	分组聚合	curated	2026-09-17
分页器	fen ye qi	30	前端交互	term	分页器	curated	2026-09-17
分页查询	fen ye cha xun	30	后端数据	term	分页查询	curated	2026-09-17
切片大小	qie pian da xiao	30	向量检索	term	切片大小	curated	2026-09-17
切片重叠	qie pian chong die	30	向量检索	term	切片重叠	curated	2026-09-17
列表渲染	lie biao xuan ran	30	前端交互	term	列表渲染	curated	2026-09-17
刘海适配	liu hai shi pei	30	桌面移动	term	刘海适配	curated	2026-09-17
创建标签	chuang jian biao qian	30	版本协作	term	创建标签	curated	2026-09-17
初始化流程	chu shi hua liu cheng	30	开发操作	term	初始化流程	curated	2026-09-17
初始状态	chu shi zhuang tai	30	架构设计	term	初始状态	curated	2026-09-17
刷新令牌	shua xin ling pai	30	后端数据	term	刷新令牌	curated	2026-09-17
前台恢复	qian tai hui fu	30	桌面移动	term	前台恢复	curated	2026-09-17
前端工程化	qian duan gong cheng hua	30	前端交互	term	前端工程化	curated	2026-09-17
前缀索引	qian zhui suo yin	30	后端数据	term	前缀索引	curated	2026-09-17
前置条件	qian zhi tiao jian	30	项目协作	term	前置条件	curated	2026-09-17
剪贴板	jian tie ban	30	桌面移动	term	剪贴板	curated	2026-09-17
副作用	fu zuo yong	30	前端交互	term	副作用	curated	2026-09-17
副作用清理	fu zuo yong qing li	30	前端交互	term	副作用清理	curated	2026-09-17
功能分支	gong neng fen zhi	30	版本协作	term	功能分支	curated	2026-09-17
功能测试	gong neng ce shi	30	测试验收	term	功能测试	curated	2026-09-17
功能需求	gong neng xu qiu	30	项目协作	term	功能需求	curated	2026-09-17
加权排名融合	jia quan pai ming rong he	30	向量检索	term	加权排名融合	curated	2026-09-17
加载指示器	jia zai zhi shi qi	30	前端交互	term	加载指示器	curated	2026-09-17
加载状态	jia zai zhuang tai	30	前端交互	term	加载状态	curated	2026-09-17
动态导入	dong tai dao ru	30	前端交互	term	动态导入	curated	2026-09-17
包发布	bao fa bu	30	开发操作	term	包发布	curated	2026-09-17
包校验	bao jiao yan	30	开发操作	term	包校验	curated	2026-09-17
包注册表	bao zhu ce biao	30	开发操作	term	包注册表	curated	2026-09-17
包版本	bao ban ben	30	开发操作	term	包版本	curated	2026-09-17
包签名	bao qian ming	30	开发操作	term	包签名	curated	2026-09-17
包管理	bao guan li	30	开发操作	term	包管理	curated	2026-09-17
包管理器	bao guan li qi	30	开发操作	term	包管理器	curated	2026-09-17
升级测试	sheng ji ce shi	30	测试验收	term	升级测试	curated	2026-09-17
协议处理	xie yi chu li	30	桌面移动	term	协议处理	curated	2026-09-17
协调算法	xie tiao suan fa	30	前端交互	term	协调算法	curated	2026-09-17
单一职责	dan yi zhi ze	30	架构设计	term	单一职责	curated	2026-09-17
单体仓库	dan ti cang ku	30	开发操作	term	单体仓库	curated	2026-09-17
单体架构	dan ti jia gou	30	架构设计	term	单体架构	curated	2026-09-17
单例模式	dan li mo shi	30	架构设计	term	单例模式	curated	2026-09-17
单元测试	dan yuan ce shi	30	测试验收	term	单元测试	curated	2026-09-17
单向数据流	dan xiang shu ju liu	30	前端交互	term	单向数据流	curated	2026-09-17
卸载测试	xie zai ce shi	30	测试验收	term	卸载测试	curated	2026-09-17
压缩合并	ya suo he bing	30	版本协作	term	压缩合并	curated	2026-09-17
压缩提交	ya suo ti jiao	30	版本协作	term	压缩提交	curated	2026-09-17
原型模式	yuan xing mo shi	30	架构设计	term	原型模式	curated	2026-09-17
原型设计	yuan xing she ji	30	项目协作	term	原型设计	curated	2026-09-17
原子提交	yuan zi ti jiao	30	版本协作	term	原子提交	curated	2026-09-17
原生应用	yuan sheng ying yong	30	桌面移动	term	原生应用	curated	2026-09-17
原生桥接	yuan sheng qiao jie	30	桌面移动	term	原生桥接	curated	2026-09-17
去重键	qu chong jian	30	后端数据	term	去重键	curated	2026-09-17
参数化测试	can shu hua ce shi	30	测试验收	term	参数化测试	curated	2026-09-17
参数校验	can shu jiao yan	30	后端数据	term	参数校验	curated	2026-09-17
参数绑定	can shu bang ding	30	后端数据	term	参数绑定	curated	2026-09-17
双向绑定	shuang xiang bang ding	30	前端交互	term	双向绑定	curated	2026-09-17
双拼输入	shuang pin shu ru	30	桌面移动	term	双拼输入	curated	2026-09-17
双重释放	shuang chong shi fang	30	排障修复	term	双重释放	curated	2026-09-17
反亲和性	fan qin he xing	30	可靠运维	term	反亲和性	curated	2026-09-17
反向用例	fan xiang yong li	30	测试验收	term	反向用例	curated	2026-09-17
反序列化	fan xu lie hua	30	后端数据	term	反序列化	curated	2026-09-17
反馈处理	fan kui chu li	30	项目协作	term	反馈处理	curated	2026-09-17
发布冻结	fa bu dong jie	30	可靠运维	term	发布冻结	curated	2026-09-17
发布分支	fa bu fen zhi	30	版本协作	term	发布分支	curated	2026-09-17
发布审批	fa bu shen pi	30	可靠运维	term	发布审批	curated	2026-09-17
发布构建	fa bu gou jian	30	开发操作	term	发布构建	curated	2026-09-17
发布标签	fa bu biao qian	30	版本协作	term	发布标签	curated	2026-09-17
发布窗口	fa bu chuang kou	30	可靠运维	term	发布窗口	curated	2026-09-17
发布计划	fa bu ji hua	30	项目协作	term	发布计划	curated	2026-09-17
发布记录	fa bu ji lu	30	可靠运维	term	发布记录	curated	2026-09-17
发布说明	fa bu shuo ming	30	可靠运维	term	发布说明	curated	2026-09-17
发布门禁	fa bu men jin	30	可靠运维	term	发布门禁	curated	2026-09-17
取消信号	qu xiao xin hao	30	可靠运维	term	取消信号	curated	2026-09-17
取消处理	qu xiao chu li	30	排障修复	term	取消处理	curated	2026-09-17
受控组件	shou kong zu jian	30	前端交互	term	受控组件	curated	2026-09-17
变基	bian ji	30	版本协作	term	变基	curated	2026-09-17
变基冲突	bian ji chong tu	30	版本协作	term	变基冲突	curated	2026-09-17
变异测试	bian yi ce shi	30	测试验收	term	变异测试	curated	2026-09-17
变更审批	bian geng shen pi	30	项目协作	term	变更审批	curated	2026-09-17
变更日志	bian geng ri zhi	30	可靠运维	term	变更日志	curated	2026-09-17
变更管理	bian geng guan li	30	项目协作	term	变更管理	curated	2026-09-17
变更范围	bian geng fan wei	30	项目协作	term	变更范围	curated	2026-09-17
变更记录	bian geng ji lu	30	项目协作	term	变更记录	curated	2026-09-17
变更评审	bian geng ping shen	30	项目协作	term	变更评审	curated	2026-09-17
变更说明	bian geng shuo ming	30	项目协作	term	变更说明	curated	2026-09-17
变更请求	bian geng qing qiu	30	项目协作	term	变更请求	curated	2026-09-17
句柄泄漏	ju bing xie lou	30	排障修复	term	句柄泄漏	curated	2026-09-17
只读事务	zhi du shi wu	30	后端数据	term	只读事务	curated	2026-09-17
只读权限	zhi du quan xian	30	代理开发	term	只读权限	curated	2026-09-17
只读模式	zhi du mo shi	30	代理开发	term	只读模式	curated	2026-09-17
召回数量	zhao hui shu liang	30	向量检索	term	召回数量	curated	2026-09-17
召回深度	zhao hui shen du	30	向量检索	term	召回深度	curated	2026-09-17
召回窗口	zhao hui chuang kou	30	向量检索	term	召回窗口	curated	2026-09-17
召回策略	zhao hui ce lve	30	向量检索	term	召回策略	curated	2026-09-17
召回融合	zhao hui rong he	30	向量检索	term	召回融合	curated	2026-09-17
可发送类型	ke fa song lei xing	30	桌面移动	term	可发送类型	curated	2026-09-17
可复现构建	ke fu xian gou jian	30	开发操作	term	可复现构建	curated	2026-09-17
