# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
一个冬天	n. un invierno
一个分支	phr. una rama
一个劲	adv. yijin
一个劲儿	adv. persistente
一个包	phr. una bolsa
一个区	phr. un distrito
一个半	num. una vez y media
一个县	phr. un condado
一个同学	phr. un compañero de clase
一个吻	phr. un beso
一个啊	phr. uno
一个团	phr. un regimiento
一个国家	phr. un país
一个地方	phr. un lugar
一个城市	phr. una ciudad
一个多月	phr. más de un mes
一个女人	n. una mujer
一个女儿	phr. una hija
一个女子	phr. una mujer
一个女孩	phr. una chica
一个女生	phr. una chica
一个女的	phr. una mujer
一个好人	phr. una buena persona
一个好的	phr. uno bueno
一个字	phr. en una palabra
一个孩子	phr. un niño
一个家	phr. un hogar
一个小孩	phr. un niño
一个小时	n. una hora
一个小镇	phr. un pequeño pueblo
一个市	phr. una ciudad
一个心眼儿	phr. un poco astuto
一个愿望	n. un deseo
一个故事	phr. una historia
一个新的	phr. uno nuevo
一个星期	phr. una semana
一个是	phr. uno es
一个晚上	n. una noche
一个普通	phr. un ordinario
一个暑假	n. unas vacaciones de verano
一个月	phr. un mes
一个月了	phr. ha pasado un mes
一个月前	phr. hace un mes
一个月后	phr. un mes después
一个朋友	phr. un amigo
一个机会	phr. una oportunidad
一个村	phr. un pueblo
一个样	phr. una cosa
一个没有	phr. ni una sola
一个游戏	phr. un juego
一个独立	phr. uno es independiente
一个班	phr. una clase
一个球	n. una pelota
一个理由	n. una razón
一个男人	phr. un hombre
一个男子	n. un hombre
一个目标	phr. un gol
一个省	n. una provincia
一个苹果	phr. una manzana
一个萝卜一个坑	phr. una zanahoria, un pozo
一个角色	n. un personaje
一个词	n. una sola palabra
一个赞	phr. un pulgar arriba
一个道理	phr. un principio
一个都没	phr. ni una sola
一个钟	phr. una hora
一个问题	phr. una pregunta
一个陌生	phr. un desconocido
一个非	phr. uno no es uno
一中	n. Instituto nº 1
一串	m. una cuerda
一举	adv. un Movimiento
一举一动	phr. cada movimiento y acción
一举成功	phr. un solo movimiento exitoso
一举成名	phr. fama instantánea
一之濑	n. Ichinose
一书	n. un libro
一书中	phr. en un libro
一事	n. un asunto
一事无成	phr. sin lograr nada
一二	num. uno o dos
一二三	num. uno, dos, tres
一二九街	n. Calle 129
一二条社区	n. Comunidad Yi'er Tiao
一二档	n. primera y segunda marcha
一五一十	phr. detallando todo
一些	m. algunos
一些东西	phr. algo
一些事	phr. algunas cosas
一些事情	phr. algunas cosas
一些人	n. algunas personas
一些问题	phr. algunas preguntas
一亩园	n. Jardín de una acre
一亩园社区	n. Comunidad Yimuyuan
一人	n. una persona
一亿	num. Cien millones
一介书生	phr. un simple erudito
一代	n. una generación
一代人	n. una generación
一件	m. un punto
一件事	phr. una cosa
一件事情	n. una cosa
一件衣服	phr. una prenda de ropa
一任	n. un mandato
一份	m. una copia
一众	n. una multitud
一伙	n. grupo A
一伙儿	n. todo un grupo
一会	n. un rato
一会儿	n. un momento
一会去	phr. entro un rato
一体	n. integrados como uno solo
一体化	n. integración
一例	n. un ejemplo
一侧	n. por un lado
一倍	num. doble
一元	num. un yuan
一元化	n. estandarización
一元论	n. monismo
一入	phr. se entra
一公司	n. una empresa
一公园	n. Un parque
一六一医院	n. Hospital 161
一六八医院	n. Hospital 168
一共	adv. total
一关	phr. un control
一册	m. un volumen
一再	adv. una y otra vez
一军	n. un ejército
一准	adv. yizhun
一出	m. una aparición
一出来	phr. en cuanto apareció
一击	n. un strike
一刀	n. un tajo
一分	n. un punto
一分为二	phr. divídete en dos
一分场	n. Una ronda
一分钟	phr. un minuto
一分钱	n. un céntimo
一切	pron. todo
一切众生	phr. todos los seres conscientes
一切可能措施	n. todas las medidas posibles
一切合理措施	phr. todas medidas razonables
一切安好	phr. todo está bien
一切平安	phr. todo está seguro
一切必要措施	phr. todas las medidas necesarias
一切正常	phr. todo es normal
一切都	phr. todo
一切都会	phr. todo lo hará
一切都是	phr. todo es verdad
一切顺利	phr. todo fue bien
一列	m. una fila
一则	m. primera
一则以喜	phr. primero, es alegrarse
一别	phr. una despedida
一到	phr. en cuanto llegaron
一到晚上	phr. al caer la noche
一刷	v. deslizar una vez
一刹那	n. en un instante
一刻	n. un momento
一剂	m. una dosis
一副	m. un par
一加	n. OnePlus
一动	v. moverse
一动不动	phr. inmóvil
一勺	phr. una cucharada
一包	m. un paquete
一区	n. distrito 1
一医	n. un médico
一医院	n. Un hospital
一千	num. mil
一千万	num. diez millones
一千个	num. mil de ellos
一千块	n. mil yuanes
一千多	num. más de mil
一半	n. mitad
一半一半	phr. mitad y mitad
一半了	phr. la mitad
一半是	phr. la mitad es
一半的	adj. mitad
一单	n. una orden
一卡通	n. tarjeta todo en uno
一卦	n. un hexagrama
一卷	n. un volumen
一厢情愿	phr. afecto unilateral
一去	v. ir una vez
一双	m. un par
一双鞋	n. un par de zapatos
一反常态	phr. un movimiento inusual
一发	m. un solo disparo
一口	m. un bocado
一口一声	phr. boca por boca
一口咬定	phr. él insistió en ello
一口气	phr. de un solo aliento
一口闷	phr. un trago
一句	m. solo una frase
一句话	phr. en una palabra
一只手	n. una mano
一只狗	phr. un perro
一只猫	phr. un gato
一只眼睛	phr. un ojo
一叶荻	n. Una sola lengüeta
一号	n. Nº 1
一号桥	n. Puente nº 1
一号立井	n. Nº 1 Lijing
一号线	n. Línea 1
一号船闸	n. Esclusa nº 1
一号路	n. Carretera nº 1
一号闸	n. Puerta nº 1
一吃	v. comer una vez
一同	adv. juntos
一同前往	phr. vamos juntos
一名	phr. una persona
一向	adv. siempre
一吨	phr. una tonelada
一听	adv. escuchar
一吹	v. soplar
一吻	n. un beso
一员	n. un miembro
一周	n. una semana
一周后	phr. una semana después
一周年	n. un aniversario
一味	adv. yimichi
一命呜呼	phr. perdió la vida
一品	n. primera posición
一品嘉园	n. Yipin Jiayuan
一品大包	n. yipin Dabao
一品烧饼	n. punto uno: Shaobing
一品红	n. poinsettia
一品红蓟马	n. trips de poinsettia
一品肉	n. carne de primera calidad
一品薯包	n. panecillos de Patata Yipin
一品豆腐	n. tofu premium
一品配方	n. receta de yipin
一品香	n. Restaurante chino Cascade Garden
一品香饭店	n. Restaurante Yipinxiang
一品鲍鱼	n. abulón de primera categoría
一品鲳	n. primera fila: pomfret
一品鲳鱼	n. pomfret de primera categoría
一哄而散	phr. se dispersaron en pánico
一哥	n. número uno
一哭	v. llorar una vez
一唱一和	phr. uno cantando en armonía
一喝	v. gritar
一四二中	n. Ruta 142
一回	m. una vez
一回事	phr. una cosa
一回来	phr. vuelve
一团	n. grupo A
一团和气	phr. una atmósfera armoniosa
一团糟	phr. un completo desastre
一国	n. un solo país
一圈	m. una vuelta
一地	n. un sitio entero
一场戏	phr. una escena
一场梦	phr. un sueño
一场空	phr. todo para nada
一场雪	n. una nevada
一块	n. una pieza
一块儿	adv. juntos
一块肉	phr. un trozo de carne
一块钱	n. un yuan
一坨	m. un bulto
一垒	n. primera base
一垒手	n. primera base
一堆	m. un montón
一堆人	n. un montón de gente
一塌糊涂	phr. un completo desastre
一声	n. un sonido
一声叹息	phr. un suspiro
一声哭	phr. un grito
一声霹雳	phr. un trueno
一壶	m. una olla
一处	n. un solo lugar
一多半	n. más de la mitad
一多楼	n. Torre Yiduo
一夜	n. una noche
一夜之间	phr. en una sola noche
一大	adj. un gran
一大包	phr. una bolsa grande
一大半	n. más de la mitad
一大口	n. un buen bocado
一大圈	n. un gran círculo
一大块	n. una gran parte
一大堆	phr. un montón enorme
一大批	phr. un grupo grande
一大把	phr. un montón
一大早	n. temprano por la mañana
一大段	phr. un tramo largo
一大片	phr. una gran zona
一大群	phr. un grupo grande
一天	n. un día
一天一个	phr. uno por día
一天一天	phr. día a día
一天假	n. un día libre
一天到晚	phr. todo el día
一天天	phr. día tras día
一天晚上	phr. una noche
一夫	n. un hombre
一夫一妻制	n. monogamia
一夫多妻制	n. poligamia
一头	m. una cabeza
一头猪	phr. un cerdo
一头雾水	phr. completamente confundido
一套	m. un par
一套衣服	phr. un conjunto de ropa
一女	phr. una hija
一如	v. igual que
一如既往	phr. como siempre
一字	n. un personaje
一字一句	phr. palabra por palabra
一字桥	n. puente Yizi
一季	n. una temporada
一季度	n. primer cuarto
一学期	n. un semestre
一宗	m. una secta
一官半职	phr. un mero cargo oficial
一定	adv. certain
一定一定	phr. definitivamente, definitivamente
一定不	phr. definitivamente no
一定不会	phr. definitivamente no
一定不是	phr. definitivamente no
一定不要	phr. absolutamente no
一定之规	phr. una regla fija
一定会	phr. definitivamente
一定可以	phr. definitivamente
一定在	phr. definitivamente ahí
一定数量	phr. una cantidad determinada
一定是	phr. debe de ser
一定是你	phr. debe de ser usted
一定有	phr. debe de haber
一定程度	n. en cierta medida
一定能	phr. definitivamente
一定要	phr. absolutamente
一定要把	phr. tienes que cogerlo
一定要看	phr. una visita obligada
一审	n. primera reseña
一审判决	n. veredicto de primera instancia
一审判决书	n. sentencia de primera instancia
一审法院	n. tribunal de primera instancia
一审裁定	n. sentencia de primera instancia
一家	n. una familia
一家三口	phr. una familia de tres
一家人	n. una familia
一家四口	phr. una familia de cuatro
一家子	n. una familia
一家老小	phr. toda la familia
一宿	n. una noche
一寸	n. una pulgada
一对	m. un par
一对一	phr. uno contra uno
一对一联系	n. contacto uno a uno
一对多	n. uno contra muchos
一对多业务	n. servicios uno a muchos
一封信	n. una carta
一尊	m. una estatua
一小	phr. uno menos
一小块	phr. un trozo pequeño
一小撮	m. un pequeño pellizco
一小时	n. una hora
一小段	phr. un breve tramo
一小部分	n. una pequeña parte
一尘不染	phr. impecable
一局	n. una ronda
一层	m. una planta
一届	m. una sesión
一屋	n. una habitación
一展身手	phr. demostró sus habilidades
一山	n. una montaña
一岁	n. un año
一己	pron. uno de ellos
一巴掌	n. una bofetada
一帆风顺	phr. navegación tranquila
一带	n. una región
一席	n. un escaño
一席之地	phr. un lugar que encontrar
一席话	phr. una conversación
一席谈	n. una reunión de debate
一帮	m. un montón
一帮人	phr. un grupo de personas
一幅画	phr. una pintura
一幕	n. una escena
一幢	m. un edificio
一干	phr. hecho
一干二净	phr. completamente limpio
一平	n. un nivel
一年	n. un año
一年一年老去	phr. año tras año, envejezco
一年一度	phr. se celebra anualmente
一年一次	phr. una vez al año
一年了	phr. ha pasado un año
一年内	phr. en un año
一年到头	phr. todo el año
一年前	n. hace un año
一年后	n. un año después
一年四季	phr. todo el año
一年多	phr. más de un año
一年时间	phr. un año
一年期	n. mandato de un año
一年生	n. estudiante de primer año
一年生植物	n. una planta anual
一年级	n. primer curso
一并	adv. juntos
一床	m. una cama
一应	n. todo está en marcha
一度	adv. un grado
一座古	phr. una ciudad antigua
一座城	phr. una ciudad
一建	n. Yijian
一开口	phr. en cuanto habló
一开始	phr. al principio
一张	m. one Piece
一张一弛	phr. estiramientos y relajación
一张嘴	phr. abre la boca
一张图	phr. una sola imagen
一张床	phr. una cama
一张照片	phr. una foto
一张纸	n. un trozo de papel
一役	n. una campaña
一往无前	adj. avanzar
一往直前	phr. avanza sin pausa
一径	adv. un camino
一律	adv. uniforme
一律予以没收	phr. todo será confiscado
一得之见	phr. una única visión
一德	n. Una virtud
一德东	n. Yide al este
一德西	n. Uno es Dexi
一德路	n. Carretera Yide
一心	adv. un corazón
一心一意	phr. de todo corazón
一怔	v. ser asustado
一总	adv. i-Zong
一悲一喜	phr. una tristeza, una alegría
一想	v. pensar en
一想到	phr. solo pensándolo
一愣	v. aturdir
一成不变	phr. inmutable e inmutable
一战	n. Una batalla
一截	m. sección A
一户	n. un hogar
一扇	m. un fan
一手	n. una mano
一手包揽	phr. él solo
一打	m. una docena
一打开	phr. en cuanto la abras
一扫而光	phr. completamente arrastrado
一批	m. un lote
一把	m. un disparo
一把刀	phr. un cuchillo
一把好手	phr. un jugador hábil
一把年纪	phr. a esa edad
一把手	n. el líder principal
一把枪	n. una pistola
一把鼻涕	n. un puñado de mocos
一抓	v. agarrar
一抖	v. sacudir
一报还一报	phr. un ojo por recompensa
一抹	m. un ictus
一拍	n. un solo tiempo
一拍即合	phr. se llevaron bien enseguida
一招	n. un movimiento
一拜	v. inclinarse una vez
一拥而入	phr. y todos corrieron juntos
一拳	n. un solo puñetazo
一捻金胶囊	n. Cápsula Yi Nian Jin
一掌雪	n. una palma de nieve
一排	n. una fila
一提	v. mencionar
一揽子	adj. una cesta entera
一搏	v. luchar por
一搜	v. buscar
一摸	v. tocar
一支黑玫瑰	phr. una rosa negra
一改	v. cambiar completamente
一整	adj. todo
一整个	adj. un todo
一整夜	n. toda la noche
一整天	n. todo el día
一整套	n. un conjunto completo
一文	n. un solo artículo
一文不值	phr. inútil
一斑	n. un pequeño detalle
一斤	phr. un jin
一新	v. renovar
一方	n. por un lado
一方面	conj. por un lado
一旁	n. cercanías
一族	n. un clan
一无所得	phr. pero no ganó nada
一无所有	phr. no había nada
一无所求	phr. no pidiendo nada
一无所获	phr. pero no ganó nada
一无所见	phr. pero no vi nada
一无所长	phr. no poseía talentos particulares
一无是处	phr. y es completamente inútil
一日	n. un día
一日三餐	phr. tres comidas al día
一日复一日	phr. día tras día
一日长一日	phr. cada día se alarga
一旦	conj. un día
一早	n. temprano por la mañana
一时	n. por un momento
一时一刻	phr. un momento tras otro
一时三刻	phr. en un instante
一时兴起	phr. un capricho repentino
一时冲动	phr. un momento de impulso
一时半会	phr. una breve reunión
一时半会儿	phr. en poco tiempo
一时的	adj. temporal
一时间	adv. un momento
一星	n. una estrella
一星儿	m. una estrella
一星半点	phr. solo un poquito
一星半点儿	phr. solo un poquito
一星期	n. una semana
一是	phr. primera
一显身手	phr. presume de tus habilidades
一晃	adv. un vaivén
一晚	n. una noche
一晚上	n. una noche
一曲	n. una canción
一月	n. Enero
一月份	n. Enero
一月又一月	phr. mes tras mes
一朝	n. un día
一期	n. fase 1
一期梅毒	n. sífilis primaria
一期缝合	n. suturas de Fase 1
一本书	phr. un libro
一本好书	phr. un buen libro
一本正经	phr. serio
一本通	n. una solución integral
一朵	m. una flor
一朵小	phr. una pequeña flor
一朵花	phr. una flor
一束	n. un haz
一条	m. one Piece
一条心	phr. unidos de corazón
一条狗	phr. un perro
一条线	phr. una sola línea
一条腿	phr. una sola pierna
一条街	n. una calle
一条街道	n. una calle
一条路	phr. un camino
一条鱼	phr. un pez
一条龙	n. un dragón
一来	adv. primero
一杯	m. una taza
一杯一杯复一杯	phr. una taza tras otra
一杯咖啡	phr. una taza de café
一杯敬	phr. un brindis
一杯酒	phr. una copa de vino
一板一眼	phr. metódico y metódico
一枝	m. una rama
一枝花	n. una sola flor
一枪	n. un disparo
一架猕猴桃	phr. un enrejado de kiwi
一栋	m. un edificio
一栏	n. una columna
一株	m. una planta
一样	adj. lo mismo
一样一样	phr. lo mismo, una cosa
一样可以	phr. todavía es posible
一样在	phr. sigue ahí
一样多	phr. la misma cantidad
一样大	adj. mismo tamaño
一样好	adj. igual de bueno
一样是	phr. es lo mismo
一样有	phr. todavía quedan algunos
一样的人	phr. la misma persona
一样美	adj. igual de bello
一样都是	phr. todos ellos
一样长	phr. la misma longitud
一根筋	adj. obsesionamiento
一格	n. una manzana
一案	n. un caso
一桌	phr. una mesa
一档	m. un nivel
一档齿轮	n. primera marcha
一桶	m. un cubo
一棒	n. un solo golpe
一棵树	phr. un árbol
一楼	n. primera planta
一概	adv. todos
一概而论	phr. en general
一模一样	phr. exactamente igual
一次	phr. una vez
一次会议	phr. una reunión
一次吧	phr. quizá una vez
一次性	adj. desechable
一次性使用导尿管	n. catéteres desechables
一次性口罩	n. mascarillas desechables
一次性输液器	n. juegos de infusión desechables
一次机会	phr. una oportunidad
一次次	adv. una y otra vez
一次澡	phr. un baño
一款由	phr. uno es por
一步	n. un paso
一步一步	adv. paso a paso
一步步	adv. paso a paso
一段	m. un segmento
一段时间	n. durante un tiempo
一段话	phr. un párrafo
一段路	phr. un tramo de carretera
一比	phr. una comparación
一毕业	phr. graduación
一毛	n. un solo céntimo
一毛钱	n. una moneda
一氧化碳	n. monóxido de carbono
一氯二氟乙烷	n. clorodifluoroetano
一水儿	adv. yishuier
一汽	n. FAW
一汽丰越	n. FAW Fengyue
一汽公司	n. FAW
一汽吉林森雅	n. FAW Jilin Senya
一汽夏利	n. FAW Xiali
一汽奥迪	n. FAW Audi
一汽威志	n. FAW Weizhi
一汽富维	n. FAW Fuwei
一汽轿车	n. Coche FAW
一汽金杯	n. FAW Jinbei
一汽马自达	n. FAW Mazda
一波	m. una onda
一派	n. un colegio
一流	adj. primera clase
一浪	n. una onda
一清二楚	adj. claro y claro
一清二白	phr. completamente inocente
一清新村	n. Pueblo Yiqingxin
一清早	n. temprano por la mañana
一清胶囊	n. Cápsulas Yiqing
一清软胶囊	n. Cápsulas blandas Yiqing
一清颗粒	n. Gránulos de Yiqing
一渡	n. Cruce una vez
一溜儿	n. una fila entera
一溜烟	phr. en un instante
一滴	m. una gota
一炮	n. un solo disparo
一炮打响	phr. un pez gordo
一点	n. un poco
一点一滴	phr. poco a poco
一点一点	adv. un poco
一点不	phr. para nada
一点也	adv. en absoluto
一点也不	phr. para nada
一点儿	m. un poco
一点半	n. uno treinta
一点半点	phr. poco a poco
一点木叶蝉	n. una sola cicahoja
一点点	adj. un poco
一点都	adv. en absoluto
一点都不	phr. para nada
一点都没	phr. para nada
一热	phr. primero, el calor
一片	m. un único parche
一片丹心	phr. un corazón de lealtad
一片汪洋	phr. un vasto océano
一片焦土	phr. una tierra quemada
一片空白	phr. una hoja en blanco
一版	n. página 1
一环	n. un anillo
一班	n. clase 1
一球	n. una bola
一瓶	phr. una botella
一生	n. toda una vida
一生一世	phr. para toda la vida
一生的	adj. de por vida
一甲胺	n. monometilamina
一番	n. una ronda
一百	num. cien
一百万	num. un millón
一百个	num. cien de ellos
一百二十	num. ciento veinte
一百五十	num. ciento cincuenta
一百倍	num. cien veces
一百分	n. cien puntos
一百块	phr. cien yuanes
一百块钱	phr. Cien yuanes
一百多	num. más de cien
一百天	n. cien días
一百年	n. cien años
一百次	phr. cien veces
一百遍	phr. cien veces
一盆	m. una cuenca
一盏	m. una lámpara
一盒	phr. una caja
一盘	m. una placa
一盘棋	n. una partida de ajedrez
一直	adv. siempre
一直一直	adv. siempre
一直下雨	phr. no paraba de llover
一直不	adv. nunca
一直以为	phr. siempre pensé
一直以来	phr. todo el tiempo
一直在	phr. todo el tiempo
一直处于	v. haber estado en
一直就是	phr. siempre ha sido así
一直是	phr. siempre lo ha sido
一直有	phr. siempre ha estado ahí
一直未	phr. nunca antes
一直没	adv. nunca
一直没有	phr. nunca ocurrió
一直被	phr. todo el tiempo
一直走	phr. sigue caminando
一直这样	phr. siempre ha sido así
一直都	phr. siempre
一直都在	phr. siempre ahí
一直都很	phr. siempre ha sido así
一直都是	phr. siempre lo ha sido
一看	v. echar un vistazo
一看见	phr. a primera vista
一真	n. Uno verdadero
一眼	n. a simple vista
一眼就	adv. a un vistazo
一着不慎	phr. un golpe fue descuidado
一睡	v. dormir
一瞥	n. una mirada
一瞬	n. en un instante
一瞬间	n. en un instante
一知半解	n. medio entendido
一码事	phr. es otro asunto
一砖一瓦	phr. cada ladrillo y teja
一碗	m. un cuenco
一碗面	n. un cuenco de fideos
一碗饭	n. un cuenco de arroz
一碰	v. tocar una vez
一票	n. un voto
一种	phr. un tipo
一种方法	phr. un método
一种菌	phr. un tipo de hongo
一种菌子	phr. un tipo de seta
一科	n. un tema
一秒	n. un segundo
一秒钟	n. un segundo
一程	m. un viaje
一程子	n. un Chengzi
一窍不通	phr. completamente perdido
一窝	n. un nido
一窝蜂	adv. un enjambre
一站	n. una parada
一章	n. un capítulo
一端	n. en un extremo
一笑	v. reír
一笑而过	phr. él simplemente lo sonrió
一笔	m. un ictus
一笔带过	phr. simplemente lo dejó pasar
一等	adj. primera clase
一等奖	n. primer Premio
一等座	n. primera clase
一筐	m. una cesta
一筹莫展	phr. perdido
一签字	n. uno señala
一箱	phr. una caja
一篇	m. un artículo
一篇文章	phr. un artículo
一米	m. un metro
一米七	n. 1,7 metros
一米九	n. 1,9 metros
一米五	n. 1,5 metros
一米八	phr. 1,8 metros
一米六	phr. 1,6 metros
一米线	n. línea de un metro
一类	n. categoría Uno
一类人	phr. un tipo de persona
一粒	m. un grano
一系列	phr. una serie de eventos
一系列的	phr. una serie de
一红	v. volverse rojo
一级	adj. primer nivel
一级亲属	n. familiares de primer grado
一级学科	n. disciplina de primer nivel
一级市场	n. mercado principal
一级漏电	n. corriente primaria de fuga
一级缓存	n. Caché de nivel 1
一级谋杀	n. asesinato en primer grado
一级预防	n. prevención primaria
一纬路	n. carretera de Una Wei
一线	n. una línea del frente
一线城市	n. ciudades de primer nivel
一线生机	phr. un destello de esperanza
一线直升机	n. helicópteros de primera línea
一线铅笔	n. una línea de lápiz
一组	n. grupo A
一经	adv. yijing
一绝	n. una cuarteta
一统天下	phr. unificación del reino
一维数组	n. matriz unidimensional
一缕	m. un hilo
一罐	phr. una lata
一群	m. grupo A
一群人	n. un grupo de personas
一者	pron. primero
一而再再而三	adv. una y otra vez
一职	n. un puesto
一职高	n. primero, rango alto
一肚子	phr. una barriga
一股	m. un arroyo
一股脑儿	adv. all at Once
一胎	n. un hijo
一脚	n. una patada
一腔	m. un corazón entero
一腔热血勤珍重	phr. cuida tu corazón apasionado
一致	adj. consistencia
一致性	n. consistencia
一致性哈希	n. hash de consistencia
一致性检验	n. comprobación de consistencia
一致性测试	n. pruebas de consistencia
一致性约束	n. restricciones de consistencia
一致的	adj. consistente
一致表决	n. voto unánime
一致裁决	n. decisión unánime
一致认为	v. estar de acuerdo unánimemente
一般	adj. general
一般一般	phr. más o menos
一般不会	phr. generalmente no
一般交易条件	n. términos generales de negociación
一般人	n. gente corriente
一般侵权行为	n. infracción general
一般保证	n. garantía general
一般共同犯罪	n. crimen conjunto general
一般共犯	n. cómplice general
一般函数	n. función general
一般化	v. generalizar
一般吧	phr. promedio
一般商事行为	n. actos comerciales generales
一般啊	adj. más o menos
一般图匹配	n. generalmente, coincidencia de grafos
一般地方立法	n. legislación local general
一般处理程序	n. procedimientos generales de manipulación
一般担保	n. garantía general
一般担保责任	n. responsabilidad por garantía general
一般授权	n. autorización general
一般授权立法	n. legislación general de autorización
一般是	phr. en términos generales, sí
一般权利	n. derechos generales
一般来说	phr. en términos generales
一般法	n. derecho general
一般法律监督	n. supervisión legal general
一般流氓行为	n. gamberro general
一般用户	n. usuarios generales
一般留置权	n. gravamen general
一般的	adj. general
一般税收协定	n. tratado fiscal general
一般累犯	n. generalmente reincidentes
一般经纪商	n. corredores generales
一般缓刑	n. libertad condicional general
一般而言	phr. en términos generales
一般般	adj. promedio
一般般啦	phr. simplemente normal
一般见识	phr. conocimientos generales
一般转让背书	n. endoso general de transferencia
一般过失	n. negligencia general
一般违法行为	n. comportamiento ilegal general
一般都	phr. generalmente, sí
一般附加险	n. seguro adicional general
一色	n. un color
一节	m. una sección
一节课	n. una lección
一节路	n. un tramo de carretera
一行	n. una sola línea
一行人	n. un grupo de personas
一行复一行	phr. fila tras línea
一袋	n. una bolsa
一见	v. ver a primera vista
一见钟情	phr. amor a primera vista
一见面	phr. al encontrarse
一览	n. una mirada
一览表	n. tabla de visión general
一觉	m. un sueño
一觉睡	v. dormir un sueño
一觉睡到	phr. duerme tranquilo
一觉醒来	phr. despierta de una siesta
一角	n. una esquina
一角鱼	n. un cálao
一角鲸	n. narval
一角鲸科	n. Familia Narval
一言一行	phr. cada palabra y acción
一言为定	phr. es algo normal
一词	n. una sola palabra
一试	v. intentar
一语双关	phr. un doble sentido
一误再误	phr. error tras error
一说	v. mencionar
一课	n. una lección
一败涂地	phr. completamente derrotado
一贫如洗	phr. rompió el plato
一贯	adj. consistencia
一贯性	n. consistencia
一贯的	adj. consistente
一贯道	n. dijo Yiguan
一走	v. salir una vez
一起	adv. juntos
一起上	phr. vamos juntos
一起买	phr. comprar juntos
一起住	phr. vivir juntos
一起做	v. hacer juntos
一起去	phr. vamos juntos
一起去吃	phr. vamos a comer juntos
一起去吧	phr. vamos juntos
一起去啊	phr. vamos juntos
一起参加	phr. participad juntos
一起发	phr. envíalos todos juntos
一起吃	v. comer juntos
一起吃饭	phr. comamos juntos
一起吧	phr. vamos juntos
一起唱	v. cantar juntos
一起啊	phr. vamos juntos
一起回	phr. volved a estar juntos
一起回去	phr. volvamos juntos
一起工作	phr. trabajando juntos
一起开	phr. juntos, abramos juntos
一起快乐	phr. felices juntos
一起成长	v. crecer juntos
一起旅行	phr. viajan juntos
一起来	phr. hagámoslo juntos
一起玩	phr. juega juntos
一起玩耍	v. tocar juntos
一起生活	phr. vivir juntos
一起睡	v. dormir juntos
一起睡觉	phr. durmiendo juntos
一起行动	v. actuar juntos
一起走	phr. vamos juntos
一起走吧	phr. vamos juntos
一起走过	phr. caminando juntos por ello
一起跑	phr. ¡Corran juntos
一起飞	v. volar juntos
一趟	m. un viaje
一跤	n. una caída
一路	n. hasta el final
一路上	adv. hasta el final
一路平安	phr. buen viaje
一路走好	phr. adiós
一路顺风	phr. buen viaje
一跳	v. saltar
一蹶不振	phr. y nunca se recuperó
一身	n. por todo su cuerpo
一身正气	phr. lleno de espíritu justo
一身汗	phr. empapados en sudor
一车	n. un carro
一转	v. girar una vez
一轮	m. una ronda
一辆车	phr. un coche
一辈	n. una generación
一辈子	n. toda una vida
