# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
一个亿	phr. one hundred million|wʌn ˈhʌndərd ˈmɪljən
一个例子	phr. an example|æn ɪɡˈzæmpəl
一个冬天	n. one winter|wʌn ˈwɪntər
一个分支	phr. a branch|eɪ bræntʃ
一个劲	adv. continuously|kənˈtɪnjuːəsli
一个劲儿	adv. continuously|kənˈtɪnjuːəsli
一个包	phr. a bag|eɪ bæɡ
一个区	phr. a district|eɪ ˈdɪstrɪkt
一个半	num. one and a half|wʌn ænd eɪ hæf
一个半个	phr. one or two|wʌn ɔːr tuː
一个县	phr. a county|eɪ ˈkaʊni
一个吃货	phr. a foodie|eɪ ˈfuːdi
一个同学	phr. a classmate|eɪ ˈklæsˌmeɪt
一个吻	phr. a kiss|eɪ kɪs
一个啊	phr. one|wʌn
一个团	phr. a regiment|eɪ ˈredʒəmənt
一个国家	phr. a country|eɪ ˈkʌntri
一个地方	phr. a place|eɪ pleɪs
一个城市	phr. a city|eɪ ˈsɪti
一个多月	phr. more than a month|mɔːr ðæn eɪ mʌnθ
一个女人	n. a woman|eɪ ˈwʊmən
一个女儿	phr. a daughter|eɪ ˈdɔːtər
一个女子	phr. a woman|eɪ ˈwʊmən
一个女孩	phr. a girl|eɪ ɡɜːrl
一个女生	phr. a girl|eɪ ɡɜːrl
一个女的	phr. a woman|eɪ ˈwʊmən
一个好人	phr. a good person|eɪ ɡʊd ˈpɜːrsən
一个好的	phr. a good one|eɪ ɡʊd wʌn
一个字	phr. one character|wʌn ˈkerɪktər	phr. one word|wʌn wɜːrd
一个孩子	phr. a child|eɪ tʃaɪld
一个家	phr. a home|eɪ hoʊm
一个小孩	phr. a child|eɪ tʃaɪld
一个小时	n. one hour|wʌn ˈaʊər
一个小镇	phr. a small town|eɪ smɔːl taʊn
一个市	phr. a city|eɪ ˈsɪti
一个心眼儿	phr. single-minded|ˈsɪŋɡəl ˈmaɪndəd
一个愿望	n. a wish|eɪ wɪʃ
一个故事	phr. a story|eɪ ˈstɔːri
一个新的	phr. a new one|eɪ njuː wʌn
一个星期	phr. one week|wʌn wiːk
一个是	phr. one is|wʌn ɪz
一个晚上	n. one night|wʌn naɪt
一个普通	phr. an ordinary|æn ˈɔːrdəˌneri
一个暑假	n. a summer vacation|eɪ ˈsʌmər veɪˈkeɪʃən
一个月	phr. one month|wʌn mʌnθ
一个月了	phr. one month|wʌn mʌnθ
一个月内	phr. within a month|wɪˈðɪn eɪ mʌnθ
一个月前	phr. a month ago|eɪ mʌnθ əˈɡoʊ
一个月后	phr. one month later|wʌn mʌnθ ˈleɪtər
一个朋友	phr. a friend|eɪ frend
一个机会	phr. a chance|eɪ tʃæns
一个村	phr. a village|eɪ ˈvɪlədʒ
一个样	phr. the same|ðʌ seɪm
一个没有	phr. none|nʌn
一个游戏	phr. a game|eɪ ɡeɪm
一个独立	phr. an independent|æn ˌɪndɪˈpendənt
一个班	phr. a class|eɪ klæs
一个球	n. a ball|eɪ bɔːl
一个理由	n. a reason|eɪ ˈriːzən
一个男人	phr. a man|eɪ mæn
一个男子	n. a man|eɪ mæn
一个目标	phr. one goal|wʌn ɡoʊl
一个省	n. a province|eɪ ˈprɑːvəns
一个苹果	phr. an apple|æn ˈæpəl
一个萝卜一个坑	phr. one for each|wʌn fɔːr iːtʃ
一个角色	n. a role|eɪ roʊl
一个词	n. a word|eɪ wɜːrd
一个赞	phr. a like|eɪ laɪk
一个道理	phr. the same principle|ðʌ seɪm ˈprɪnsəpəl
一个都没	phr. not a single one|nɑːt eɪ ˈsɪŋɡəl wʌn
一个钟	phr. one hour|wʌn ˈaʊər
一个问题	phr. a question|eɪ ˈkwestʃən
一个陌生	phr. a stranger|eɪ ˈstreɪndʒər
一个非	phr. a non-|eɪ nɑːn
一中	n. No.1 Middle School
一串	m. a string of|eɪ strɪŋ ʌv
一串红大造桥虫	n. salvia looper|ˈsælviːə ˈluːpər
一串红小地老虎	n. salvia cutworm|ˈsælviːə ˈkʌtˌwərm
一串红朱砂叶螨	n. salvia spider mite|ˈsælviːə ˈspaɪdər maɪt
一串红白粉虱	n. salvia whitefly
一串红白粉蝶	n. salvia white butterfly|ˈsælviːə hwaɪt ˈbʌtərˌflaɪ
一串红绿盲蝽	n. salvia green mirid bug
一串红银纹夜蛾	n. salvia silver Y moth|ˈsælviːə ˈsɪlvər waɪ mɔːθ
一串铃法	phr. chain method|tʃeɪn ˈmeθəd
一为迁客去长沙	phr. once exiled to Changsha
一举	adv. at one stroke|æt wʌn stroʊk
一举一动	phr. every move|ˈevəri muːv
一举成功	phr. succeed at first try|səkˈsiːd æt fɜːrst traɪ
一举成名	phr. become famous overnight|bɪˈkʌm ˈfeɪməs ˈoʊvərˈnaɪt
一举成名天下知	phr. become famous overnight|bɪˈkʌm ˈfeɪməs ˈoʊvərˈnaɪt
一举累十觞	phr. one toast after another|wʌn toʊst ˈæftər əˈnʌðər
一之濑	n. Ichinose
一书	n. a book|eɪ bʊk
一书中	phr. in a book|ɪn eɪ bʊk
一了百了	phr. end it all|end ɪt ɔːl
一争高低	phr. compete|kəmˈpiːt
一事	n. matter|ˈmætər
一事一议制度	n. one-vote system|wʌn voʊt ˈsɪstəm
一事不再理	phr. ne bis in idem
一事无成	phr. accomplish nothing|əˈkɑːmplɪʃ ˈnʌθɪŋ
一事无成百不堪	phr. utter failure|ˈʌtər ˈfeɪljər
一二	num. one or two|wʌn ɔːr tuː
一二三	num. one two three|wʌn tuː θriː
一二九街	n. 129 Street
一二八纪念路	n. January 28 Memorial Road
一二条社区	n. Yiertiao Community
一二档	n. first and second gear|fɜːrst ænd ˈsekənd ɡɪr
一五一十	phr. in full detail|ɪn fʊl ˈdiːteɪl
一些	m. some|sʌm
一些东西	phr. some things|sʌm θɪŋz
一些事	phr. some things|sʌm θɪŋz
一些事情	phr. some things|sʌm θɪŋz
一些人	n. some people|sʌm ˈpiːpəl
一些问题	phr. some problems|sʌm ˈprɑːbləmz
一亩园	n. Yimu Garden
一亩园社区	n. Yimuyuan community
一人	n. one person|wʌn ˈpɜːrsən
一人之下	phr. under one person|ˈʌndər wʌn ˈpɜːrsən
一人之下万人之上	phr. above all but one|əˈbʌv ɔːl bʌt wʌn
一人做事一人当	phr. bear one's own responsibility|ber wʌnz oʊn riːˌspɑːnsəˈbɪləti
一人巷	n. alley|ˈæli
一人得道	phr. one person attains enlightenment|wʌn ˈpɜːrsən əˈteɪnz ˌenˈlaɪtənmənt
一亿	num. 100 million
一介书生	phr. a mere scholar|eɪ mɪr ˈskɑːlər
一从大地起风雷	phr. when thunder rises|hwen ˈθʌndər ˈraɪzəz
一代	n. generation|ˌdʒenərˈeɪʃən
一代不如一代	phr. each generation worse|iːtʃ ˌdʒenərˈeɪʃən wɜːrs
一代人	n. generation|ˌdʒenərˈeɪʃən
一代新人换旧人	phr. new generation replaces old|njuː ˌdʒenərˈeɪʃən rɪˈpleɪsɪz oʊld
一代楷模	phr. model of a generation|ˈmɑːdəl ʌv eɪ ˌdʒenərˈeɪʃən
一代繁华地	phr. a generation of prosperity|eɪ ˌdʒenərˈeɪʃən ʌv prɑːˈsperəti
一以贯之	phr. consistent|kənˈsɪstənt
一件	m. a piece of|eɪ piːs ʌv
一件事	phr. one thing|wʌn θɪŋ
一件事情	n. a matter|eɪ ˈmætər
一件衣服	phr. a piece of clothing|eɪ piːs ʌv ˈkloʊðɪŋ
一任	n. term of office|tɜːrm ʌv ˈɔːfɪs
一任群芳妒	phr. let flowers envy|let ˈflaʊərz ˈenvi
一份	m. a copy|eɪ ˈkɑːpi	m. a portion|eɪ ˈpɔːrʃən
一众	n. a group of|eɪ ɡruːp ʌv
一伙	n. a gang|eɪ ɡæŋ
一伙儿	n. a group|eɪ ɡruːp
一会	n. a while|eɪ hwaɪl	n. moment|ˈmoʊmənt
一会儿	n. a while|eɪ hwaɪl	n. moment|ˈmoʊmənt
一会去	phr. go in a while|ɡoʊ ɪn eɪ hwaɪl
一体	n. unity|ˈjuːnəti
一体化	n. integration|ˌɪnəˈɡreɪʃən
一例	n. example|ɪɡˈzæmpəl
一侧	n. one side|wʌn saɪd
一倍	num. double|ˈdʌbəl
一元	num. one yuan|wʌn juːˈɑːn
一元化	n. unification|ˌjuːnəfəˈkeɪʃən
一元复始	phr. a new beginning|eɪ njuː bɪˈɡɪnɪŋ
一元多项式	n. univariate polynomial
一元论	n. monism|ˈmɑːnɪzəm
一入	phr. once enter|wʌns ˈenər
一公司	n. first company|fɜːrst ˈkʌmpəˌni
一公园	n. First Park|fɜːrst pɑːrk
一六一医院	n. 161 Hospital
一六八医院	n. 168 Hospital
一共	adv. altogether|ˌɔːltəˈɡeðər
一关	phr. one pass|wʌn pæs
一册	m. one volume|wʌn ˈvɑːljuːm
一再	adv. repeatedly|rɪˈpiːtɪdli
一军	n. army|ˈɑːrmi
一决胜负	phr. decide the outcome|ˌdɪˈsaɪd ðʌ ˈaʊtˌkəm
一决雌雄	phr. decide the outcome|ˌdɪˈsaɪd ðʌ ˈaʊtˌkəm
一准	adv. surely|ˈʃʊrli
一出	m. a play|eɪ pleɪ
一出来	phr. as soon as out|æz suːn æz aʊt
一击	n. blow|bloʊ
一刀	n. one cut|wʌn kʌt
一刀两断	phr. cut in two|kʌt ɪn tuː
一刀切	phr. one-size-fits-all|wʌn saɪz fɪts ɔːl
一分	n. one point|wʌn pɔɪnt
一分一毫	phr. a bit|eɪ bɪt
一分为二	phr. divide into two|dɪˈvaɪd ˈɪntuː tuː
一分场	n. No.1 branch farm
一分钟	phr. one minute|wʌn ˈmɪnət
一分钱	n. a cent|eɪ sent
一切	pron. everything|ˈevriːˌθɪŋ
一切众生	phr. all beings|ɔːl ˈbiːɪŋz
一切危险保险合同	phr. all risk insurance contract|ɔːl rɪsk ˌɪnˈʃʊrəns ˈkɑːnˌtrækt
一切可能措施	n. all possible measures|ɔːl ˈpɑːsəbəl ˈmeʒərz
一切合理措施	phr. all reasonable measures|ɔːl ˈriːzənəbəl ˈmeʒərz
一切安好	phr. all is well|ɔːl ɪz wel
一切平安	phr. all safe|ɔːl seɪf
一切必要措施	phr. all necessary measures|ɔːl ˈnesəˌseri ˈmeʒərz
一切正常	phr. all normal|ɔːl ˈnɔːrməl
一切都	phr. everything|ˈevriːˌθɪŋ
一切都会	phr. everything will|ˈevriːˌθɪŋ wɪl
一切都是	phr. everything is|ˈevriːˌθɪŋ ɪz
一切顺利	phr. all goes well|ɔːl ɡoʊz wel
一列	m. a row|eɪ roʊ
一则	m. a piece of|eɪ piːs ʌv
一则以喜	phr. one joy|wʌn dʒɔɪ
一别	phr. parting|ˈpɑːrtɪŋ
一别二十年	phr. parted for twenty years|ˈpɑːrtɪd fɔːr ˈtweni jɪrz
一别武功去	phr. once leave Wugong
一到	phr. as soon as arrive|æz suːn æz ərˈaɪv
一到晚上	phr. at night|æt naɪt
一刷	v. swipe once|swaɪp wʌns
一刹那	n. instant|ˈɪnstənt
一刻	n. moment|ˈmoʊmənt
一剂	m. a dose|eɪ doʊs
一副	m. a pair|eɪ per	m. a set|eɪ set
一加	n. OnePlus
一动	v. move|muːv
一动不动	phr. motionless|ˈmoʊʃənləs
一劳永逸	phr. once and for all|wʌns ænd fɔːr ɔːl
一勺	phr. a spoonful|eɪ ˈspuːnˌfʊl
一包	m. a pack|eɪ pæk
一化性柞蚕	n. univoltine oak silkworm
一区	n. district one|ˈdɪstrɪkt wʌn
一医	n. first doctor|fɜːrst ˈdɑːktər
一医院	n. First Hospital|fɜːrst ˈhɑːˌspɪtəl
一千	num. one thousand|wʌn ˈθaʊzən
一千万	num. ten million|ten ˈmɪljən
一千个	num. one thousand|wʌn ˈθaʊzən
一千块	n. one thousand yuan|wʌn ˈθaʊzən juːˈɑːn
一千多	num. over a thousand|ˈoʊvər eɪ ˈθaʊzən
一半	n. half|hæf
一半一半	phr. half and half|hæf ænd hæf
一半了	phr. half done|hæf dʌn
一半是	phr. half is|hæf ɪz
一半的	adj. half|hæf
一单	n. one order|wʌn ˈɔːrdər
一卡通	n. all-in-one card|ɔːl ɪn wʌn kɑːrd
一卦	n. a hexagram
一卷	n. one volume|wʌn ˈvɑːljuːm
一厢情愿	phr. wishful thinking|ˈwɪʃfəl ˈθɪŋkɪŋ
一去	v. go once|ɡoʊ wʌns
一去一万里	phr. go ten thousand miles|ɡoʊ ten ˈθaʊzən ˈmaɪəlz
一去三十年	phr. gone for thirty years|ɡɔːn fɔːr ˈθɜːrˌdi jɪrz
一去不复返	phr. gone forever|ɡɔːn fərˈevər
一去无踪迹	phr. gone without a trace|ɡɔːn wɪˈðaʊt eɪ treɪs
一参一控	phr. one reference one control|wʌn ˈrefərəns wʌn kənˈtroʊl
一双	m. a pair|eɪ per
一双鞋	n. a pair of shoes|eɪ per ʌv ʃuːz
一反常态	phr. out of character|aʊt ʌv ˈkerɪktər
一发	m. one shot|wʌn ʃɑːt
一发千钧	phr. critical moment|ˈkrɪtɪkəl ˈmoʊmənt
一发而不可收拾	phr. get out of hand|ɡet aʊt ʌv hænd
一受其成形	phr. once receiving its form|wʌns rəˈsiːvɪŋ ɪts fɔːrm
一口	m. mouthful|ˈmaʊθˌfʊl
一口一个	phr. one after another|wʌn ˈæftər əˈnʌðər
一口一声	phr. in unison|ɪn ˈjuːnəsən
一口咬定	phr. insist|ˌɪnˈsɪst
一口气	phr. in one breath|ɪn wʌn breθ	phr. at one go|æt wʌn ɡoʊ
一口酥	n. one-bite pastry|wʌn baɪt ˈpeɪstri
一口闷	phr. drink in one gulp|drɪŋk ɪn wʌn ɡʌlp
一句	m. a sentence|eɪ ˈsentəns
一句话	phr. one sentence|wʌn ˈsentəns
一只手	n. one hand|wʌn hænd
一只狗	phr. a dog|eɪ dɔːɡ
一只猫	phr. a cat|eɪ kæt
一只眼睛	phr. one eye|wʌn aɪ
一可以为法则	phr. can be a rule|kæn biː eɪ ruːl
一叶荻	n. Securinega suffruticosa
一叶障目	phr. blinded by one leaf|ˈblaɪndɪd baɪ wʌn liːf
一叶障目不见泰山	phr. leaf blinds Mount Tai|liːf blaɪndz maʊnt taɪ
一号	n. No.1	n. first|fɜːrst
一号半红龙	n. No.1 half-red dragon
一号桥	n. No.1 Bridge
一号立井	n. No. 1 vertical shaft
一号线	n. Line 1
一号船闸	n. No.1 ship lock
一号路	n. No.1 Road
一号闸	n. No.1 sluice
一吃	v. eat once|iːt wʌns
一同	adv. together|təˈɡeðər
一同前往	phr. go together|ɡoʊ təˈɡeðər
一名	phr. one|wʌn
一向	adv. always|ˈɔːlˌweɪz
一吟双泪流	phr. recite and tears flow|rəˈsaɪt ænd terz floʊ
一吨	phr. one ton|wʌn tʌn
一听	adv. upon hearing|əˈpɑːn ˈhiːrɪŋ
一听到	v. as soon as hear|æz suːn æz hiːr
一吹	v. blow|bloʊ
一吻	n. a kiss|eɪ kɪs
一员	n. member|ˈmembər
一周	n. one week|wʌn wiːk
一周一次	phr. once a week|wʌns eɪ wiːk
一周内	phr. within a week|wɪˈðɪn eɪ wiːk
一周后	phr. in a week|ɪn eɪ wiːk	phr. after a week|ˈæftər eɪ wiːk
一周年	n. first anniversary|fɜːrst ˌænəˈvɜːrsəri
一味	adv. blindly|ˈblaɪndli
一呼百应	phr. multitude responds|ˈmʌltəˌtuːd riːˈspɑːndz
一呼百诺	phr. command a large following|kəˈmænd eɪ lɑːrdʒ ˈfɑːloʊɪŋ
一命呜呼	phr. kick the bucket|kɪk ðʌ ˈbʌkət
一命归西	phr. die|daɪ
一品	n. top grade|tɑːp ɡreɪd	n. first class|fɜːrst klæs
一品嘉园	n. Yipin Jiayuan
一品大包	n. yipin big bun
一品官燕	n. imperial bird's nest|ˌɪmˈpɪriːəl bɜːrdz nest
一品寿桃	n. top-grade longevity peach|tɑːp ɡreɪd lɔːnˈdʒevəti piːtʃ
一品烧饼	n. first-class sesame cake|fɜːrst klæs ˈsesəmi keɪk
一品熊掌	n. top-grade bear paw|tɑːp ɡreɪd ber pɔː
一品玉带糕	n. yipin jade belt cake
一品红	n. poinsettia|ˌpɔɪnˈseˌtiːə
一品红小白纹毒蛾	n. poinsettia whitefly
一品红蓟马	n. poinsettia thrips|ˌpɔɪnˈseˌtiːə θrɪps
一品肉	n. top-grade pork|tɑːp ɡreɪd pɔːrk
一品蒸黄鱼	n. steamed yellow croaker|stiːmd ˈjeloʊ ˈkroʊkər
一品薯包	n. potato dumpling|pəˈteɪˌtoʊ ˈdʌmplɪŋ
一品豆腐	n. top-grade tofu|tɑːp ɡreɪd ˈtoʊfuː
一品豆腐汤	n. tofu soup|ˈtoʊfuː suːp
一品配方	n. premium formula|ˈpriːmiːəm ˈfɔːrmjələ
一品酥方	n. crispy square|ˈkrɪspi skwer
一品香	n. Yipinxiang
一品香饭店	n. Yipinxiang Restaurant
一品鲍鱼	n. top-grade abalone|tɑːp ɡreɪd ˌæbəˈloʊni
一品鲳	n. yipin pomfret
一品鲳鱼	n. pomfret dish
一哄而上	phr. rush in a crowd|rʌʃ ɪn eɪ kraʊd
一哄而散	phr. disperse in a hubbub|dɪˈspɜːrs ɪn eɪ ˈhʌbəb
一哄而起	phr. rise in a hubbub|raɪz ɪn eɪ ˈhʌbəb
一哥	n. top guy|tɑːp ɡaɪ
一哭	v. cry once|kraɪ wʌns
一唱一和	phr. echo each other|ˈekoʊ iːtʃ ˈʌðər
一唱三叹	phr. sing with deep feeling|sɪŋ wɪð diːp ˈfiːlɪŋ
一唱雄鸡天下白	phr. cockcrow heralds dawn
一喝	v. shout|ʃaʊt
一四二中	n. 142 middle school
一回	m. once|wʌns
一回事	phr. the same thing|ðʌ seɪm θɪŋ
一回来	phr. as soon as return|æz suːn æz riːˈtɜːrn
一团	n. a ball of|eɪ bɔːl ʌv
一团和气	phr. harmonious|hɑːrˈmoʊniːəs
一团漆黑	phr. pitch-dark|pɪtʃ dɑːrk
一团糟	phr. a mess|eɪ mes
一国	n. one country|wʌn ˈkʌntri
一国之善士	n. country's good man|ˈkʌntriːz ɡʊd mæn
一圈	m. a circle|eɪ ˈsɜːrkəl	m. a lap|eɪ læp
一地	n. all over the ground|ɔːl ˈoʊvər ðʌ ɡraʊnd
一场戏	phr. a play|eɪ pleɪ	phr. a show|eɪ ʃoʊ
一场梦	phr. a dream|eɪ driːm
一场空	phr. all in vain|ɔːl ɪn veɪn
一场雪	n. a snowfall|eɪ ˈsnoʊfɑːl
一块	n. piece|piːs	n. together|təˈɡeðər
一块儿	adv. together|təˈɡeðər
一块肉	phr. a piece of meat|eɪ piːs ʌv miːt
一块钱	n. one yuan|wʌn juːˈɑːn
一坨	m. lump|lʌmp
一垒	n. first base|fɜːrst beɪs
一垒手	n. first baseman|fɜːrst ˈbeɪsmən
一城之人皆若狂	phr. whole city goes mad|hoʊl ˈsɪti ɡoʊz mæd
一堆	m. pile|paɪl
一堆人	n. a crowd|eɪ kraʊd
一塌糊涂	phr. in a mess|ɪn eɪ mes	phr. terrible|ˈterəbəl
一声	n. a sound|eɪ saʊnd
一声不响	phr. without a word|wɪˈðaʊt eɪ wɜːrd
一声叹息	phr. a sigh|eɪ saɪ
一声哭	phr. burst into tears|bɜːrst ˈɪntuː terz
一声霹雳	phr. a thunderclap
一壶	m. a pot|eɪ pɑːt
一处	n. a place|eɪ pleɪs
一多半	n. more than half|mɔːr ðæn hæf
一多楼	n. Yiduo Building
一夜	n. one night|wʌn naɪt
一夜之间	phr. overnight|ˈoʊvərˈnaɪt
一夜征人尽望乡	phr. soldiers all yearn home|ˈsoʊldʒərz ɔːl jɜːrn hoʊm
一夜暴富	phr. get rich overnight|ɡet rɪtʃ ˈoʊvərˈnaɪt
一夜没睡	phr. sleepless night|ˈsliːpləs naɪt
一夜鱼龙舞	phr. fish-dragon dance all night|fɪʃ ˈdræɡən dæns ɔːl naɪt
一大	adj. big|bɪɡ
一大包	phr. a big bag|eɪ bɪɡ bæɡ
一大半	n. most|moʊs
一大口	n. big mouthful|bɪɡ ˈmaʊθˌfʊl
一大圈	n. a big circle|eɪ bɪɡ ˈsɜːrkəl
一大块	n. a big piece|eɪ bɪɡ piːs
一大堆	phr. a pile of|eɪ paɪl ʌv
一大批	phr. a large batch|eɪ lɑːrdʒ bætʃ
一大把	phr. a lot of|eɪ lɑːt ʌv
一大早	n. early morning|ˈɜːrli ˈmɔːrnɪŋ
一大段	phr. a large section|eɪ lɑːrdʒ ˈsekʃən
一大片	phr. a large area|eɪ lɑːrdʒ ˈeriːə
一大群	phr. a large group|eɪ lɑːrdʒ ɡruːp
一天	n. one day|wʌn deɪ
一天一个	phr. one per day|wʌn pɜːr deɪ
一天一地	phr. heaven and earth|ˈhevən ænd ɜːrθ
一天一夜	phr. a day and night|eɪ deɪ ænd naɪt
一天一天	phr. day by day|deɪ baɪ deɪ
一天假	n. one day off|wʌn deɪ ɔːf
一天到晚	phr. all day long|ɔːl deɪ lɔːŋ
一天天	phr. day by day|deɪ baɪ deɪ
一天晚上	phr. one evening|wʌn ˈiːvnɪŋ
一夫	n. one husband|wʌn ˈhʌzbənd
一夫一妻制	n. monogamy|məˈnɑːɡəmi
一夫多妻制	n. polygyny|pəˈlɪdʒəni
一头	m. a head of|eɪ hed ʌv
一头猪	phr. a pig|eɪ pɪɡ
一头雾水	phr. completely confused|kəmˈpliːtli kənˈfjuːzd
一套	m. a set|eɪ set
一套衣服	phr. a suit of clothes|eɪ suːt ʌv kloʊðz
一女	phr. one woman|wʌn ˈwʊmən
一如	v. just like|dʒʌst laɪk
一如既往	phr. as always|æz ˈɔːlˌweɪz
一如法界	phr. as the dharma realm|æz ðʌ ˈdɑːrmə relm
一孔之见	phr. narrow view|ˈnæroʊ vjuː
一字	n. one word|wʌn wɜːrd
一字一句	phr. word by word|wɜːrd baɪ wɜːrd
一字倒吊	n. one-word inverted|wʌn wɜːrd ˌɪnˈvɜːrtɪd
一字偕华星	phr. word with bright star|wɜːrd wɪð braɪt stɑːr
一字刺尾鲷	n. one-stripe surgeonfish
