# corpus.txt 行号	教材文件（固定提交见 sources.json）
161	chapter_computational-performance/hardware.md
162	chapter_computational-performance/hardware.md
163	chapter_computational-performance/hardware.md
164	chapter_computational-performance/hardware.md
165	chapter_computational-performance/hardware.md
166	chapter_computational-performance/hardware.md
167	chapter_computational-performance/hardware.md
168	chapter_computational-performance/hardware.md
169	chapter_computational-performance/hardware.md
170	chapter_computational-performance/hardware.md
171	chapter_computational-performance/hardware.md
172	chapter_computational-performance/hardware.md
173	chapter_computational-performance/hardware.md
174	chapter_computational-performance/hardware.md
175	chapter_computational-performance/hardware.md
176	chapter_computational-performance/hybridize.md
177	chapter_computational-performance/hybridize.md
178	chapter_computational-performance/hybridize.md
179	chapter_computational-performance/hybridize.md
180	chapter_computational-performance/hybridize.md
181	chapter_computational-performance/hybridize.md
182	chapter_computational-performance/hybridize.md
183	chapter_computational-performance/hybridize.md
184	chapter_computational-performance/hybridize.md
185	chapter_computational-performance/hybridize.md
186	chapter_computational-performance/hybridize.md
187	chapter_computational-performance/hybridize.md
188	chapter_computational-performance/index.md
189	chapter_computational-performance/multiple-gpus-concise.md
190	chapter_computational-performance/multiple-gpus-concise.md
191	chapter_computational-performance/multiple-gpus-concise.md
192	chapter_computational-performance/multiple-gpus-concise.md
193	chapter_computational-performance/multiple-gpus-concise.md
194	chapter_computational-performance/multiple-gpus-concise.md
195	chapter_computational-performance/multiple-gpus.md
196	chapter_computational-performance/multiple-gpus.md
197	chapter_computational-performance/multiple-gpus.md
198	chapter_computational-performance/multiple-gpus.md
199	chapter_computational-performance/multiple-gpus.md
200	chapter_computational-performance/multiple-gpus.md
201	chapter_computational-performance/multiple-gpus.md
202	chapter_computational-performance/multiple-gpus.md
203	chapter_computational-performance/multiple-gpus.md
204	chapter_computational-performance/multiple-gpus.md
205	chapter_computational-performance/multiple-gpus.md
206	chapter_computational-performance/multiple-gpus.md
207	chapter_computational-performance/multiple-gpus.md
208	chapter_computational-performance/multiple-gpus.md
209	chapter_computational-performance/multiple-gpus.md
210	chapter_computational-performance/multiple-gpus.md
211	chapter_computational-performance/multiple-gpus.md
212	chapter_computational-performance/multiple-gpus.md
213	chapter_computational-performance/multiple-gpus.md
214	chapter_computational-performance/multiple-gpus.md
215	chapter_computational-performance/parameterserver.md
216	chapter_computational-performance/parameterserver.md
217	chapter_computational-performance/parameterserver.md
218	chapter_computational-performance/parameterserver.md
219	chapter_computational-performance/parameterserver.md
220	chapter_computational-performance/parameterserver.md
221	chapter_computational-performance/parameterserver.md
222	chapter_computational-performance/parameterserver.md
223	chapter_computational-performance/parameterserver.md
224	chapter_computational-performance/parameterserver.md
225	chapter_computational-performance/parameterserver.md
226	chapter_computational-performance/parameterserver.md
227	chapter_computational-performance/parameterserver.md
228	chapter_computational-performance/parameterserver.md
229	chapter_computational-performance/parameterserver.md
230	chapter_computational-performance/parameterserver.md
231	chapter_computational-performance/parameterserver.md
232	chapter_computational-performance/parameterserver.md
233	chapter_computational-performance/parameterserver.md
234	chapter_computational-performance/parameterserver.md
235	chapter_computational-performance/parameterserver.md
236	chapter_computer-vision/anchor.md
237	chapter_computer-vision/anchor.md
238	chapter_computer-vision/anchor.md
239	chapter_computer-vision/anchor.md
240	chapter_computer-vision/anchor.md
241	chapter_computer-vision/anchor.md
242	chapter_computer-vision/anchor.md
243	chapter_computer-vision/anchor.md
244	chapter_computer-vision/anchor.md
245	chapter_computer-vision/anchor.md
246	chapter_computer-vision/anchor.md
247	chapter_computer-vision/anchor.md
248	chapter_computer-vision/anchor.md
249	chapter_computer-vision/anchor.md
250	chapter_computer-vision/anchor.md
251	chapter_computer-vision/anchor.md
252	chapter_computer-vision/anchor.md
253	chapter_computer-vision/anchor.md
254	chapter_computer-vision/anchor.md
255	chapter_computer-vision/anchor.md
256	chapter_computer-vision/anchor.md
257	chapter_computer-vision/anchor.md
258	chapter_computer-vision/anchor.md
259	chapter_computer-vision/anchor.md
260	chapter_computer-vision/anchor.md
261	chapter_computer-vision/anchor.md
262	chapter_computer-vision/anchor.md
263	chapter_computer-vision/anchor.md
264	chapter_computer-vision/anchor.md
265	chapter_computer-vision/anchor.md
266	chapter_computer-vision/anchor.md
267	chapter_computer-vision/anchor.md
268	chapter_computer-vision/anchor.md
269	chapter_computer-vision/anchor.md
270	chapter_computer-vision/anchor.md
271	chapter_computer-vision/anchor.md
272	chapter_computer-vision/bounding-box.md
273	chapter_computer-vision/bounding-box.md
274	chapter_computer-vision/bounding-box.md
275	chapter_computer-vision/bounding-box.md
276	chapter_computer-vision/bounding-box.md
277	chapter_computer-vision/bounding-box.md
278	chapter_computer-vision/bounding-box.md
279	chapter_computer-vision/bounding-box.md
280	chapter_computer-vision/bounding-box.md
281	chapter_computer-vision/bounding-box.md
282	chapter_computer-vision/bounding-box.md
283	chapter_computer-vision/fcn.md
284	chapter_computer-vision/fcn.md
285	chapter_computer-vision/fcn.md
286	chapter_computer-vision/fcn.md
287	chapter_computer-vision/fcn.md
288	chapter_computer-vision/fcn.md
289	chapter_computer-vision/fcn.md
290	chapter_computer-vision/fcn.md
291	chapter_computer-vision/fcn.md
292	chapter_computer-vision/fcn.md
293	chapter_computer-vision/fcn.md
294	chapter_computer-vision/fcn.md
295	chapter_computer-vision/fcn.md
296	chapter_computer-vision/fcn.md
297	chapter_computer-vision/fcn.md
298	chapter_computer-vision/fcn.md
299	chapter_computer-vision/fcn.md
300	chapter_computer-vision/fcn.md
301	chapter_computer-vision/fcn.md
302	chapter_computer-vision/fcn.md
303	chapter_computer-vision/fcn.md
304	chapter_computer-vision/fcn.md
305	chapter_computer-vision/fine-tuning.md
306	chapter_computer-vision/fine-tuning.md
307	chapter_computer-vision/fine-tuning.md
308	chapter_computer-vision/fine-tuning.md
309	chapter_computer-vision/fine-tuning.md
310	chapter_computer-vision/fine-tuning.md
311	chapter_computer-vision/fine-tuning.md
312	chapter_computer-vision/fine-tuning.md
313	chapter_computer-vision/fine-tuning.md
314	chapter_computer-vision/fine-tuning.md
315	chapter_computer-vision/fine-tuning.md
316	chapter_computer-vision/fine-tuning.md
317	chapter_computer-vision/fine-tuning.md
318	chapter_computer-vision/fine-tuning.md
319	chapter_computer-vision/fine-tuning.md
320	chapter_computer-vision/fine-tuning.md
321	chapter_computer-vision/fine-tuning.md
322	chapter_computer-vision/fine-tuning.md
323	chapter_computer-vision/fine-tuning.md
324	chapter_computer-vision/image-augmentation.md
325	chapter_computer-vision/image-augmentation.md
326	chapter_computer-vision/image-augmentation.md
327	chapter_computer-vision/image-augmentation.md
328	chapter_computer-vision/image-augmentation.md
329	chapter_computer-vision/image-augmentation.md
330	chapter_computer-vision/image-augmentation.md
331	chapter_computer-vision/image-augmentation.md
332	chapter_computer-vision/image-augmentation.md
333	chapter_computer-vision/image-augmentation.md
334	chapter_computer-vision/image-augmentation.md
335	chapter_computer-vision/image-augmentation.md
336	chapter_computer-vision/image-augmentation.md
337	chapter_computer-vision/image-augmentation.md
338	chapter_computer-vision/image-augmentation.md
339	chapter_computer-vision/index.md
340	chapter_computer-vision/index.md
341	chapter_computer-vision/kaggle-cifar10.md
342	chapter_computer-vision/kaggle-cifar10.md
343	chapter_computer-vision/kaggle-cifar10.md
344	chapter_computer-vision/kaggle-cifar10.md
345	chapter_computer-vision/kaggle-cifar10.md
346	chapter_computer-vision/kaggle-cifar10.md
347	chapter_computer-vision/kaggle-cifar10.md
348	chapter_computer-vision/kaggle-cifar10.md
349	chapter_computer-vision/kaggle-cifar10.md
350	chapter_computer-vision/kaggle-cifar10.md
351	chapter_computer-vision/kaggle-cifar10.md
352	chapter_computer-vision/kaggle-cifar10.md
353	chapter_computer-vision/kaggle-cifar10.md
354	chapter_computer-vision/kaggle-cifar10.md
355	chapter_computer-vision/kaggle-cifar10.md
356	chapter_computer-vision/kaggle-cifar10.md
357	chapter_computer-vision/kaggle-cifar10.md
358	chapter_computer-vision/kaggle-dog.md
359	chapter_computer-vision/kaggle-dog.md
360	chapter_computer-vision/kaggle-dog.md
361	chapter_computer-vision/kaggle-dog.md
362	chapter_computer-vision/kaggle-dog.md
363	chapter_computer-vision/kaggle-dog.md
364	chapter_computer-vision/kaggle-dog.md
365	chapter_computer-vision/kaggle-dog.md
366	chapter_computer-vision/kaggle-dog.md
367	chapter_computer-vision/kaggle-dog.md
368	chapter_computer-vision/kaggle-dog.md
369	chapter_computer-vision/kaggle-dog.md
370	chapter_computer-vision/kaggle-dog.md
371	chapter_computer-vision/kaggle-dog.md
372	chapter_computer-vision/kaggle-dog.md
373	chapter_computer-vision/kaggle-dog.md
374	chapter_computer-vision/multiscale-object-detection.md
375	chapter_computer-vision/multiscale-object-detection.md
376	chapter_computer-vision/multiscale-object-detection.md
377	chapter_computer-vision/multiscale-object-detection.md
378	chapter_computer-vision/multiscale-object-detection.md
379	chapter_computer-vision/multiscale-object-detection.md
380	chapter_computer-vision/multiscale-object-detection.md
381	chapter_computer-vision/multiscale-object-detection.md
382	chapter_computer-vision/multiscale-object-detection.md
383	chapter_computer-vision/multiscale-object-detection.md
384	chapter_computer-vision/multiscale-object-detection.md
385	chapter_computer-vision/multiscale-object-detection.md
386	chapter_computer-vision/multiscale-object-detection.md
387	chapter_computer-vision/multiscale-object-detection.md
388	chapter_computer-vision/multiscale-object-detection.md
389	chapter_computer-vision/multiscale-object-detection.md
390	chapter_computer-vision/neural-style.md
391	chapter_computer-vision/neural-style.md
392	chapter_computer-vision/neural-style.md
393	chapter_computer-vision/neural-style.md
394	chapter_computer-vision/neural-style.md
395	chapter_computer-vision/neural-style.md
396	chapter_computer-vision/neural-style.md
397	chapter_computer-vision/neural-style.md
398	chapter_computer-vision/neural-style.md
399	chapter_computer-vision/neural-style.md
400	chapter_computer-vision/neural-style.md
401	chapter_computer-vision/neural-style.md
402	chapter_computer-vision/neural-style.md
403	chapter_computer-vision/neural-style.md
404	chapter_computer-vision/neural-style.md
405	chapter_computer-vision/neural-style.md
406	chapter_computer-vision/neural-style.md
407	chapter_computer-vision/neural-style.md
408	chapter_computer-vision/neural-style.md
409	chapter_computer-vision/neural-style.md
410	chapter_computer-vision/neural-style.md
411	chapter_computer-vision/neural-style.md
412	chapter_computer-vision/neural-style.md
413	chapter_computer-vision/neural-style.md
414	chapter_computer-vision/neural-style.md
415	chapter_computer-vision/object-detection-dataset.md
416	chapter_computer-vision/object-detection-dataset.md
417	chapter_computer-vision/object-detection-dataset.md
418	chapter_computer-vision/object-detection-dataset.md
419	chapter_computer-vision/object-detection-dataset.md
420	chapter_computer-vision/object-detection-dataset.md
421	chapter_computer-vision/object-detection-dataset.md
422	chapter_computer-vision/object-detection-dataset.md
423	chapter_computer-vision/object-detection-dataset.md
424	chapter_computer-vision/rcnn.md
425	chapter_computer-vision/rcnn.md
426	chapter_computer-vision/rcnn.md
427	chapter_computer-vision/rcnn.md
428	chapter_computer-vision/rcnn.md
429	chapter_computer-vision/rcnn.md
430	chapter_computer-vision/rcnn.md
431	chapter_computer-vision/rcnn.md
432	chapter_computer-vision/rcnn.md
433	chapter_computer-vision/rcnn.md
434	chapter_computer-vision/rcnn.md
435	chapter_computer-vision/rcnn.md
436	chapter_computer-vision/rcnn.md
437	chapter_computer-vision/rcnn.md
438	chapter_computer-vision/rcnn.md
439	chapter_computer-vision/rcnn.md
440	chapter_computer-vision/rcnn.md
441	chapter_computer-vision/rcnn.md
442	chapter_computer-vision/rcnn.md
443	chapter_computer-vision/semantic-segmentation-and-dataset.md
444	chapter_computer-vision/semantic-segmentation-and-dataset.md
445	chapter_computer-vision/semantic-segmentation-and-dataset.md
446	chapter_computer-vision/semantic-segmentation-and-dataset.md
447	chapter_computer-vision/semantic-segmentation-and-dataset.md
448	chapter_computer-vision/semantic-segmentation-and-dataset.md
449	chapter_computer-vision/semantic-segmentation-and-dataset.md
450	chapter_computer-vision/semantic-segmentation-and-dataset.md
451	chapter_computer-vision/semantic-segmentation-and-dataset.md
452	chapter_computer-vision/semantic-segmentation-and-dataset.md
453	chapter_computer-vision/semantic-segmentation-and-dataset.md
454	chapter_computer-vision/semantic-segmentation-and-dataset.md
455	chapter_computer-vision/semantic-segmentation-and-dataset.md
456	chapter_computer-vision/semantic-segmentation-and-dataset.md
457	chapter_computer-vision/ssd.md
458	chapter_computer-vision/ssd.md
459	chapter_computer-vision/ssd.md
460	chapter_computer-vision/ssd.md
461	chapter_computer-vision/ssd.md
462	chapter_computer-vision/ssd.md
463	chapter_computer-vision/ssd.md
464	chapter_computer-vision/ssd.md
465	chapter_computer-vision/ssd.md
466	chapter_computer-vision/ssd.md
467	chapter_computer-vision/ssd.md
468	chapter_computer-vision/ssd.md
469	chapter_computer-vision/ssd.md
470	chapter_computer-vision/ssd.md
471	chapter_computer-vision/ssd.md
472	chapter_computer-vision/ssd.md
473	chapter_computer-vision/ssd.md
474	chapter_computer-vision/ssd.md
475	chapter_computer-vision/ssd.md
476	chapter_computer-vision/ssd.md
477	chapter_computer-vision/ssd.md
478	chapter_computer-vision/ssd.md
479	chapter_computer-vision/ssd.md
480	chapter_computer-vision/ssd.md
481	chapter_computer-vision/ssd.md
482	chapter_computer-vision/ssd.md
483	chapter_computer-vision/ssd.md
484	chapter_computer-vision/ssd.md
485	chapter_computer-vision/ssd.md
486	chapter_computer-vision/ssd.md
487	chapter_computer-vision/ssd.md
488	chapter_computer-vision/ssd.md
489	chapter_computer-vision/transposed-conv.md
490	chapter_computer-vision/transposed-conv.md
491	chapter_computer-vision/transposed-conv.md
492	chapter_computer-vision/transposed-conv.md
493	chapter_computer-vision/transposed-conv.md
494	chapter_computer-vision/transposed-conv.md
495	chapter_computer-vision/transposed-conv.md
496	chapter_computer-vision/transposed-conv.md
497	chapter_computer-vision/transposed-conv.md
498	chapter_computer-vision/transposed-conv.md
499	chapter_computer-vision/transposed-conv.md
500	chapter_computer-vision/transposed-conv.md
501	chapter_computer-vision/transposed-conv.md
502	chapter_computer-vision/transposed-conv.md
503	chapter_computer-vision/transposed-conv.md
504	chapter_computer-vision/transposed-conv.md
505	chapter_convolutional-modern/alexnet.md
506	chapter_convolutional-modern/alexnet.md
507	chapter_convolutional-modern/alexnet.md
508	chapter_convolutional-modern/alexnet.md
509	chapter_convolutional-modern/alexnet.md
510	chapter_convolutional-modern/alexnet.md
511	chapter_convolutional-modern/alexnet.md
512	chapter_convolutional-modern/alexnet.md
513	chapter_convolutional-modern/alexnet.md
514	chapter_convolutional-modern/alexnet.md
515	chapter_convolutional-modern/alexnet.md
516	chapter_convolutional-modern/alexnet.md
517	chapter_convolutional-modern/alexnet.md
518	chapter_convolutional-modern/alexnet.md
519	chapter_convolutional-modern/alexnet.md
520	chapter_convolutional-modern/alexnet.md
521	chapter_convolutional-modern/alexnet.md
522	chapter_convolutional-modern/alexnet.md
523	chapter_convolutional-modern/alexnet.md
524	chapter_convolutional-modern/alexnet.md
525	chapter_convolutional-modern/alexnet.md
526	chapter_convolutional-modern/alexnet.md
527	chapter_convolutional-modern/alexnet.md
528	chapter_convolutional-modern/alexnet.md
529	chapter_convolutional-modern/alexnet.md
530	chapter_convolutional-modern/alexnet.md
531	chapter_convolutional-modern/alexnet.md
532	chapter_convolutional-modern/batch-norm.md
533	chapter_convolutional-modern/batch-norm.md
534	chapter_convolutional-modern/batch-norm.md
535	chapter_convolutional-modern/batch-norm.md
536	chapter_convolutional-modern/batch-norm.md
537	chapter_convolutional-modern/batch-norm.md
538	chapter_convolutional-modern/batch-norm.md
539	chapter_convolutional-modern/batch-norm.md
540	chapter_convolutional-modern/batch-norm.md
541	chapter_convolutional-modern/batch-norm.md
542	chapter_convolutional-modern/batch-norm.md
543	chapter_convolutional-modern/batch-norm.md
544	chapter_convolutional-modern/batch-norm.md
545	chapter_convolutional-modern/batch-norm.md
546	chapter_convolutional-modern/batch-norm.md
547	chapter_convolutional-modern/batch-norm.md
548	chapter_convolutional-modern/batch-norm.md
549	chapter_convolutional-modern/batch-norm.md
550	chapter_convolutional-modern/batch-norm.md
551	chapter_convolutional-modern/batch-norm.md
552	chapter_convolutional-modern/batch-norm.md
553	chapter_convolutional-modern/batch-norm.md
554	chapter_convolutional-modern/batch-norm.md
555	chapter_convolutional-modern/batch-norm.md
556	chapter_convolutional-modern/batch-norm.md
557	chapter_convolutional-modern/batch-norm.md
558	chapter_convolutional-modern/batch-norm.md
559	chapter_convolutional-modern/batch-norm.md
560	chapter_convolutional-modern/densenet.md
561	chapter_convolutional-modern/densenet.md
562	chapter_convolutional-modern/densenet.md
563	chapter_convolutional-modern/densenet.md
564	chapter_convolutional-modern/densenet.md
565	chapter_convolutional-modern/densenet.md
566	chapter_convolutional-modern/densenet.md
567	chapter_convolutional-modern/densenet.md
568	chapter_convolutional-modern/densenet.md
569	chapter_convolutional-modern/densenet.md
570	chapter_convolutional-modern/densenet.md
571	chapter_convolutional-modern/densenet.md
572	chapter_convolutional-modern/densenet.md
573	chapter_convolutional-modern/densenet.md
574	chapter_convolutional-modern/densenet.md
575	chapter_convolutional-modern/densenet.md
576	chapter_convolutional-modern/googlenet.md
577	chapter_convolutional-modern/googlenet.md
578	chapter_convolutional-modern/googlenet.md
579	chapter_convolutional-modern/googlenet.md
580	chapter_convolutional-modern/googlenet.md
581	chapter_convolutional-modern/googlenet.md
582	chapter_convolutional-modern/googlenet.md
583	chapter_convolutional-modern/googlenet.md
584	chapter_convolutional-modern/googlenet.md
585	chapter_convolutional-modern/googlenet.md
586	chapter_convolutional-modern/googlenet.md
587	chapter_convolutional-modern/googlenet.md
588	chapter_convolutional-modern/googlenet.md
589	chapter_convolutional-modern/index.md
590	chapter_convolutional-modern/index.md
591	chapter_convolutional-modern/index.md
592	chapter_convolutional-modern/nin.md
593	chapter_convolutional-modern/nin.md
594	chapter_convolutional-modern/nin.md
595	chapter_convolutional-modern/nin.md
596	chapter_convolutional-modern/nin.md
597	chapter_convolutional-modern/nin.md
598	chapter_convolutional-modern/resnet.md
599	chapter_convolutional-modern/resnet.md
600	chapter_convolutional-modern/resnet.md
601	chapter_convolutional-modern/resnet.md
602	chapter_convolutional-modern/resnet.md
603	chapter_convolutional-modern/resnet.md
604	chapter_convolutional-modern/resnet.md
605	chapter_convolutional-modern/resnet.md
606	chapter_convolutional-modern/resnet.md
607	chapter_convolutional-modern/resnet.md
608	chapter_convolutional-modern/resnet.md
609	chapter_convolutional-modern/resnet.md
610	chapter_convolutional-modern/resnet.md
611	chapter_convolutional-modern/resnet.md
612	chapter_convolutional-modern/vgg.md
613	chapter_convolutional-modern/vgg.md
614	chapter_convolutional-modern/vgg.md
615	chapter_convolutional-modern/vgg.md
616	chapter_convolutional-modern/vgg.md
617	chapter_convolutional-modern/vgg.md
618	chapter_convolutional-modern/vgg.md
619	chapter_convolutional-modern/vgg.md
620	chapter_convolutional-modern/vgg.md
621	chapter_convolutional-modern/vgg.md
622	chapter_convolutional-modern/vgg.md
623	chapter_convolutional-modern/vgg.md
624	chapter_convolutional-modern/vgg.md
625	chapter_convolutional-neural-networks/channels.md
626	chapter_convolutional-neural-networks/channels.md
627	chapter_convolutional-neural-networks/channels.md
628	chapter_convolutional-neural-networks/channels.md
629	chapter_convolutional-neural-networks/channels.md
630	chapter_convolutional-neural-networks/channels.md
631	chapter_convolutional-neural-networks/channels.md
632	chapter_convolutional-neural-networks/channels.md
633	chapter_convolutional-neural-networks/channels.md
634	chapter_convolutional-neural-networks/channels.md
635	chapter_convolutional-neural-networks/channels.md
636	chapter_convolutional-neural-networks/channels.md
637	chapter_convolutional-neural-networks/channels.md
638	chapter_convolutional-neural-networks/channels.md
639	chapter_convolutional-neural-networks/channels.md
640	chapter_convolutional-neural-networks/channels.md
641	chapter_convolutional-neural-networks/channels.md
642	chapter_convolutional-neural-networks/conv-layer.md
643	chapter_convolutional-neural-networks/conv-layer.md
644	chapter_convolutional-neural-networks/conv-layer.md
645	chapter_convolutional-neural-networks/conv-layer.md
646	chapter_convolutional-neural-networks/conv-layer.md
647	chapter_convolutional-neural-networks/conv-layer.md
648	chapter_convolutional-neural-networks/conv-layer.md
649	chapter_convolutional-neural-networks/conv-layer.md
650	chapter_convolutional-neural-networks/conv-layer.md
651	chapter_convolutional-neural-networks/conv-layer.md
